Date,AAPL,MSFT,NVDA,AVGO,ORCL,ADBE,CSCO,ACN,INTC,TXN,QCOM,AMD,AMAT,KLAC,LRCX,MU,ADI,MCHP,CDNS,SNPS,CRM,NOW,INTU,PANW,FTNT,CRWD,WDAY,DDOG,ZS,TEAM,SHOP,NFLX,META,GOOGL,AMZN,TSLA,JPM,BAC,WFC,GS,MS,BLK,C,AXP,SPGI,MCO,ICE,CME,CB,PGR,TRV,MMC,AON,MET,PRU,AIG,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,ISRG,VRTX,REGN,AMGN,GILD,BSX,EW,DXCM,IQV,A,ZBH,IDXX,BKNG,HD,MCD,SBUX,NKE,LOW,TJX,ORLY,AZO,TSCO,ROST,YUM,DRI,CMG,ULTA,EBAY,ETSY,W,DHI,LEN,WMT,COST,PG,KO,PEP,PM,MO,MDLZ,CL,CHD,KMB,SJM,CAG,K,CPB,GIS,HRL,TSN,KHC,MNST,GE,HON,CAT,UPS,DE,RTX,LMT,BA,NOC,GD,FDX,CSX,NSC,UNP,CTAS,FAST,ROK,EMR,ETN,ITW,XOM,CVX,COP,EOG,SLB,PXD,MPC,PSX,VLO,HES,NEE,DUK,SO,AEP,EXC,D,PEG,XEL,PCG,SRE,LIN,APD,SHW,ECL,PPG,NEM,FCX,NUE,CF,MOS,TMUS,VZ,T,CMCSA,CHTR,DIS,OMC,IPG
2018-01-02,40.32,79.19,4.932,21.42,42.15,177.8,30.34,136.13,39.38,83.88,52.32,11.02,48.39,94.23,16.91,42.63,77.87,38.8,42.21,86.13,103.16,26.47,149.5,24.81,8.892,,103.6,,,47.35,10.57,20.17,180.18,53.36,59.5,21.47,85.92,24.63,48.88,215.03,41.38,422.15,57.16,89.0,158.42,137.91,63.67,108.79,126.87,43.65,114.1,72.04,125.9,38.45,77.94,48.61,194.23,111.35,75.31,69.68,44.02,189.26,51.17,78.41,125.27,153.3,382.27,138.48,54.65,25.52,37.43,14.88,100.47,63.82,116.21,160.53,70.32,155.94,143.76,48.82,56.94,80.28,34.62,16.8,746.54,13.51,74.91,70.93,76.55,5.863,231.0,34.03,21.03,81.22,47.0,54.11,29.21,170.75,73.8,35.56,93.27,69.07,38.83,35.37,62.47,45.28,90.31,95.47,27.3,48.26,35.84,43.27,28.97,64.8,52.37,31.81,80.7,117.31,133.56,89.93,139.95,212.95,255.26,282.97,269.21,168.81,223.62,16.9,124.58,113.37,36.38,11.16,170.57,58.21,66.51,137.23,58.66,89.57,42.52,81.01,55.17,136.47,51.99,73.89,66.97,42.78,31.89,60.43,34.35,54.89,21.2,56.64,39.25,37.22,43.9,41.34,,135.49,128.2,123.4,100.92,30.32,17.93,55.89,35.27,23.26,62.06,33.68,17.85,30.85,352.82,106.23,54.49,14.73
2018-01-03,40.84,79.37,5.283,21.68,42.39,181.89,30.6,136.91,38.8,86.18,52.91,12.14,49.5,95.07,17.3,43.93,78.69,39.51,42.95,87.25,104.58,26.65,149.95,24.99,9.028,,105.9,,,50.7105,10.81,20.62,183.36,54.35,60.27,21.68,86.29,24.67,49.21,213.56,41.19,418.86,56.82,89.02,159.25,138.48,64.13,109.27,124.35,42.95,111.16,71.78,124.94,38.44,78.08,48.84,195.42,111.94,75.68,70.53,43.64,192.37,51.01,78.77,128.06,153.5,394.16,141.3,55.07,25.6,38.27,14.55,100.16,65.32,117.26,162.37,71.82,154.83,143.07,49.45,57.09,79.1,34.0,17.05,760.0,13.44,74.26,70.38,77.6,6.264,246.52,34.85,20.89,79.37,48.38,56.23,29.27,172.03,73.13,35.36,91.94,68.21,38.36,35.01,62.24,44.74,89.29,94.99,27.14,48.23,35.18,43.35,28.74,64.68,51.89,31.66,82.27,117.0,131.97,92.1,140.87,215.14,254.39,284.41,268.8,167.28,227.07,17.08,125.07,114.06,36.65,11.05,172.48,58.79,68.31,136.12,59.88,90.41,43.2,82.82,56.6,138.61,53.32,74.59,67.21,44.44,31.72,59.98,33.85,54.44,21.3,54.41,38.92,36.96,44.03,41.73,,136.37,128.81,124.04,101.61,30.3,17.99,56.89,35.44,23.42,61.69,33.54,17.59,31.04,364.38,107.54,54.09,14.71
2018-01-04,40.59,80.42,5.391,21.76,42.5,184.0599,31.03,138.56,37.49,86.73,53.28,12.43,50.1,96.75,17.57,45.81,79.27,39.79,43.93,88.7,106.08,27.02,154.17,25.44,9.046,,110.19,,,52.04,11.01,20.71,184.77,54.75,60.79,21.24,87.97,25.08,50.23,216.54,41.96,424.21,57.87,91.02,161.87,142.01,65.62,111.52,125.37,43.14,111.97,72.79,127.57,39.03,79.15,49.46,197.42,112.3,76.02,70.54,44.54,195.23,51.52,79.6,129.83,153.97,392.34,140.85,55.24,25.61,38.93,13.56,100.12,65.63,118.49,165.7,72.6,156.06,143.47,49.83,56.99,79.73,33.74,17.41,769.18,13.68,74.58,71.04,78.73,6.208,249.3,35.29,20.56,79.51,48.69,56.28,29.2,172.2,73.67,35.77,92.44,67.98,38.28,35.24,62.44,45.12,89.23,95.68,27.48,48.68,35.0,43.35,28.86,64.53,52.31,32.03,83.52,117.69,133.72,93.74,141.76,216.24,258.65,284.34,270.08,170.07,231.11,17.3,125.96,115.13,37.25,11.13,174.52,59.08,68.58,136.76,60.05,90.0,43.81,82.36,57.83,138.38,53.39,74.53,67.32,45.09,31.15,59.58,33.65,53.81,20.9,54.19,37.53,36.83,43.47,42.19,,137.38,130.63,125.25,102.43,30.3,17.96,56.82,35.57,23.42,61.56,33.25,17.45,30.55,358.0,107.36,52.91,14.7
2018-01-05,41.03,81.11,5.362,21.96,42.88,185.9,31.3,139.32,37.91,86.75,53.34,12.22,50.07,97.81,17.6,45.49,79.26,39.81,44.2,89.4,106.7,27.03,154.86,25.52,8.908,,109.94,,,52.43,11.18,21.0,185.46,55.22,61.46,21.15,87.59,25.06,50.04,214.68,41.73,427.98,57.6,90.51,163.53,143.43,65.57,111.1,125.05,42.97,110.99,72.91,127.72,39.22,79.31,49.25,200.0,112.84,76.86,71.31,44.52,198.22,51.08,79.67,126.96,157.35,386.22,140.87,54.85,26.035,38.73,13.46,98.83,65.9,118.02,166.74,71.69,157.43,144.19,50.06,57.67,81.43,34.46,17.49,780.54,14.0,75.61,71.4,78.11,6.286,244.75,35.34,20.33,81.06,47.95,56.43,29.38,169.86,73.3,35.76,92.42,68.05,38.15,35.5,62.13,45.38,88.74,96.26,27.65,48.98,35.18,43.59,28.92,64.62,52.39,31.93,84.65,119.02,135.79,93.53,142.08,218.7,261.24,294.31,271.42,170.67,235.59,17.29,128.72,116.66,37.36,11.17,172.3,59.62,68.1,136.91,59.82,89.82,43.59,83.17,58.21,137.58,53.7,74.27,67.81,46.8,30.93,59.24,33.55,53.31,20.74,53.89,37.69,36.44,43.83,42.21,,138.29,130.74,125.66,101.82,30.43,18.04,57.04,35.8,23.66,62.34,33.25,17.44,30.94,354.4,107.05,53.65,14.74
2018-01-08,41.09,81.27,5.562,21.83,43.27,185.599,31.36,140.46,37.65,87.66,53.28,12.3,51.48,98.04,17.8,44.94,79.21,39.8,45.05,89.92,107.54,27.22,154.84,25.68,9.008,,110.06,,,52.6,11.27,21.25,187.44,55.5,62.65,22.47,86.89,24.94,49.98,212.76,41.68,431.05,57.2,90.62,165.06,144.51,65.98,113.28,124.0,43.15,110.84,72.95,127.81,39.46,79.37,49.04,199.7,112.99,76.83,71.36,44.41,198.79,50.98,79.94,130.88,157.21,384.77,141.16,54.98,26.07,39.56,13.94,98.79,66.11,118.49,167.71,73.63,158.39,143.54,50.04,58.03,81.71,34.53,17.75,782.4304,14.03,75.61,71.45,78.1,6.402,238.9913,35.56,20.38,83.94,48.57,56.57,29.78,169.23,73.67,35.68,92.15,68.09,38.14,35.57,62.17,45.79,89.24,97.12,27.47,48.99,35.29,43.78,28.86,65.48,52.56,32.04,83.88,118.94,139.46,94.16,142.71,224.37,261.43,296.19,270.63,170.11,234.54,17.6,129.56,116.59,37.55,11.24,173.92,59.59,68.83,138.16,60.0,90.2,44.02,83.85,59.19,139.45,53.87,74.37,67.86,46.8,31.19,58.92,33.75,53.48,20.76,54.48,37.79,36.33,44.65,41.75,,138.16,131.54,125.42,101.93,30.5,18.11,57.39,35.77,23.48,63.47,33.17,17.58,30.79,360.19,105.72,53.94,14.81
2018-01-09,40.96,81.4,5.533,21.93,43.7,186.97,31.36,140.89,37.65,88.14,52.74,12.02,51.23,97.83,17.83,44.42,79.31,39.87,45.27,90.47,107.73,27.28,155.77,25.83,8.968,,109.98,,,52.85,11.37,21.3,187.34,55.46,62.97,22.59,87.65,25.16,50.01,213.1,41.95,439.42,57.7,90.26,166.05,145.33,66.87,113.61,126.14,43.73,112.34,72.62,129.2,40.02,80.63,49.64,197.88,115.91,76.57,70.92,44.29,202.39,51.09,82.93,134.71,157.88,376.08,143.71,57.9,28.029,40.0,13.99,99.0,67.99,118.78,166.08,73.7,158.19,143.55,49.88,58.04,81.53,33.95,17.49,772.92,14.01,74.73,71.53,78.0,6.444,233.54,35.6,21.12,83.7799,48.61,56.27,29.95,169.52,73.58,35.88,92.34,68.59,38.26,35.31,62.36,45.67,89.16,97.66,27.11,48.99,35.44,43.76,28.84,65.91,52.65,32.8,83.7,119.42,140.28,94.5,146.96,222.17,262.55,304.81,273.77,171.27,235.26,17.83,131.06,117.87,37.47,11.29,175.14,59.72,68.99,138.83,60.0,90.41,44.67,83.76,59.49,139.89,53.77,74.19,68.28,47.11,31.25,58.72,33.77,53.38,20.65,54.2,37.82,36.34,44.57,41.81,,139.53,132.39,125.79,101.92,30.34,17.93,57.31,35.06,23.06,63.99,33.34,17.59,30.79,358.77,105.32,54.34,14.92
2018-01-10,40.78,80.91,5.533,21.31,43.62,187.27,31.58,140.59,36.61,87.35,52.65,12.15,49.35,95.8,17.42,42.29,78.3,39.54,45.17,89.6,107.88,27.28,155.26,25.59,8.844,,114.48,,,52.47,11.15,21.36,186.44,55.18,62.72,22.47,88.51,25.32,50.51,212.73,42.7,436.07,57.99,90.97,165.62,145.43,67.07,114.49,125.8,43.45,111.36,72.2,128.4,40.58,82.81,49.7,196.47,114.7,76.35,70.6,44.5,202.1,50.92,82.65,142.33,157.87,368.97,143.06,58.04,27.75,39.65,14.67,99.0,67.17,116.33,166.42,73.57,157.98,143.36,50.43,57.6,81.45,34.17,17.41,772.62,13.96,74.77,71.27,77.22,6.565,233.16,34.62,20.96,83.03,48.02,57.16,29.23,166.78,72.98,35.81,91.86,68.98,38.08,35.24,62.04,45.28,87.03,96.75,27.05,48.46,35.03,43.22,28.65,65.41,52.6,33.08,85.5,119.69,140.38,94.84,149.14,223.88,264.06,306.95,270.75,170.5,233.28,17.68,130.63,118.06,37.26,11.15,174.86,59.81,69.15,138.29,60.03,90.29,44.64,84.24,60.1,140.29,53.83,74.31,68.06,47.52,30.86,57.95,33.24,52.6,20.47,53.44,37.52,35.85,44.16,41.35,,138.48,131.05,124.98,101.2,30.49,17.89,58.0,34.71,22.75,62.71,32.9,17.31,30.89,356.46,104.98,54.08,15.25
2018-01-11,41.06,80.86,5.594,21.13,43.4,188.94,31.56,140.81,36.59,87.97,52.46,12.19,48.82,94.33,17.21,42.91,78.39,39.58,45.14,90.41,107.79,27.56,154.97,25.82,8.922,,114.77,,,52.07,11.18,21.78,186.95,55.28,63.84,22.99,88.69,25.28,50.73,213.35,42.59,438.57,57.79,90.84,164.18,144.83,67.12,113.75,125.85,43.32,111.23,71.49,127.65,40.66,83.38,49.79,197.26,115.29,76.72,70.6,44.69,204.15,51.21,82.78,141.32,159.0499,367.65,142.41,58.63,27.99,40.0,14.8,100.06,66.91,115.15,171.55,74.64,159.22,143.82,50.34,57.68,82.27,34.37,17.35,774.72,13.83,76.07,71.4,77.53,6.564,233.5,33.66,20.6,85.65,47.75,58.74,29.4,170.74,72.67,35.78,91.46,69.36,38.41,35.03,61.64,45.02,86.02,95.51,26.7,47.63,34.4,43.1,28.12,64.82,52.3,32.06,86.96,120.36,142.06,97.25,148.35,225.15,262.75,312.9,270.95,170.6,235.43,17.6,131.09,117.72,37.47,11.13,177.14,60.79,70.25,138.53,60.15,93.49,45.56,85.7,61.01,145.87,54.45,74.46,68.03,49.4,30.76,57.37,32.76,52.2,20.69,53.33,38.08,35.63,44.03,41.37,,139.57,131.8,125.47,100.8,30.8,18.07,58.94,35.59,23.65,61.75,33.18,17.03,32.02,356.19,105.53,55.28,15.6
2018-01-12,41.5,82.37,5.562,21.25,44.11,195.5,32.12,141.9,36.61,89.74,52.78,12.07,49.24,95.71,17.08,42.27,79.53,40.14,45.16,90.6,109.08,27.81,155.59,25.83,9.026,,114.88,,,52.74,11.45,22.26,180.08,56.1,65.29,22.69,90.22,25.7,50.51,214.52,43.22,452.74,58.51,90.47,165.53,146.48,67.48,113.73,125.79,43.37,113.01,72.08,128.28,40.74,84.2,49.6,200.74,116.5,77.45,71.42,45.62,206.91,51.45,83.59,140.64,158.42,367.57,144.55,58.43,27.7,40.33,14.56,100.68,67.55,115.06,173.82,75.63,163.05,143.19,50.75,58.05,87.85,35.18,17.41,789.78,14.06,77.27,72.05,78.68,6.572,237.72,33.95,19.7,88.06,47.82,58.35,29.69,172.1,72.53,35.91,91.58,68.72,38.1,34.95,61.51,44.69,84.86,94.88,26.64,46.76,34.29,42.77,27.5,64.01,51.88,32.16,85.9,121.49,143.01,97.65,151.17,225.68,266.13,320.98,276.2,175.22,236.04,17.72,132.31,118.41,37.47,11.22,178.98,61.25,70.55,140.53,60.58,93.86,46.15,86.26,61.7,145.59,55.28,76.25,69.75,49.02,30.83,56.99,32.42,51.21,20.61,53.01,38.02,35.12,43.43,41.33,,139.39,134.43,126.44,101.43,31.55,18.19,59.2,35.68,23.79,61.81,33.22,17.13,32.05,359.56,107.09,56.54,15.9
2018-01-16,41.97,83.3,5.624,21.38,44.32,198.21,32.3,141.66,36.77,90.46,54.98,12.2,50.52,96.55,17.48,42.77,80.49,40.45,45.4085,91.29,109.8,28.33,157.06,25.87,9.158,,114.4,,,55.25,11.47,22.61,180.35,56.97,67.0,23.0,90.69,26.19,50.31,218.25,43.88,465.31,59.63,91.68,166.16,147.36,67.99,115.09,126.1,43.7,113.88,72.44,127.77,40.48,83.6,49.66,205.19,117.81,76.72,73.09,49.47,207.18,51.36,84.1,142.23,159.87,372.34,145.98,60.04,27.61,40.98,14.35,101.01,68.13,115.07,177.25,76.57,162.67,143.7,51.24,58.62,90.7,35.16,17.37,791.64,14.25,77.58,72.55,78.25,6.619,238.68,33.94,20.1,87.7199,47.54,58.29,29.83,172.69,72.87,36.08,91.85,68.3,37.81,35.36,62.25,45.03,85.57,95.64,26.81,46.86,35.11,43.07,27.81,64.25,52.78,32.38,83.03,121.76,145.17,97.93,151.06,227.58,266.38,331.32,278.82,175.11,237.13,17.92,133.21,118.72,37.44,11.33,179.92,60.78,70.67,140.86,60.42,93.88,46.13,86.36,61.63,145.29,55.54,76.11,70.14,48.82,30.75,56.74,32.27,50.79,20.73,52.94,38.15,35.05,43.63,41.47,,140.36,134.82,126.96,101.77,31.84,17.89,58.96,34.98,23.76,61.7,33.08,17.14,31.96,356.54,107.51,56.94,16.02
