Date,AAPL,MSFT,NVDA,AVGO,ORCL,ADBE,CSCO,ACN,INTC,TXN,QCOM,AMD,AMAT,KLAC,LRCX,MU,ADI,MCHP,CDNS,SNPS,CRM,NOW,INTU,PANW,FTNT,CRWD,WDAY,DDOG,ZS,TEAM,SHOP,NFLX,META,GOOGL,AMZN,TSLA,JPM,BAC,WFC,GS,MS,BLK,C,AXP,SPGI,MCO,ICE,CME,CB,PGR,TRV,MMC,AON,MET,PRU,AIG,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,ISRG,VRTX,REGN,AMGN,GILD,BSX,EW,DXCM,IQV,A,ZBH,IDXX,BKNG,HD,MCD,SBUX,NKE,LOW,TJX,ORLY,AZO,TSCO,ROST,YUM,DRI,CMG,ULTA,EBAY,ETSY,W,DHI,LEN,WMT,COST,PG,KO,PEP,PM,MO,MDLZ,CL,CHD,KMB,SJM,CAG,K,CPB,GIS,HRL,TSN,KHC,MNST,GE,HON,CAT,UPS,DE,RTX,LMT,BA,NOC,GD,FDX,CSX,NSC,UNP,CTAS,FAST,ROK,EMR,ETN,ITW,XOM,CVX,COP,EOG,SLB,PXD,MPC,PSX,VLO,HES,NEE,DUK,SO,AEP,EXC,D,PEG,XEL,PCG,SRE,LIN,APD,SHW,ECL,PPG,NEM,FCX,NUE,CF,MOS,TMUS,VZ,T,CMCSA,CHTR,DIS,OMC,IPG
2018-01-02,39.6,78.44,4.808,20.63,40.71,175.26,29.94,134.96,38.8,82.99,51.39,10.34,46.71,92.72,16.41,40.17,76.39,37.83,41.71,85.08,100.77,26.03,147.76,24.18,8.711,,100.24,,,45.61,10.1,19.54,176.18,52.22,58.53,20.73,84.96,24.39,48.36,211.7,40.89,412.14,56.27,87.65,156.27,135.41,62.58,107.13,121.98,42.57,110.05,70.55,122.63,37.53,77.15,47.9,192.09,110.38,74.48,68.17,43.48,186.21,49.98,77.31,121.7,147.72,374.62,135.84,52.78,24.84,36.89,14.39,97.57,63.3,112.73,157.53,68.5,153.72,142.26,48.21,56.37,78.61,34.13,16.09,714.445,13.21,74.05,70.09,75.16,5.78,224.44,33.64,20.5,79.27,46.02,53.22,28.83,167.23,72.69,35.22,91.52,67.76,37.86,34.7,61.52,44.57,88.78,94.08,26.9,47.85,34.95,42.58,28.54,64.07,51.42,31.3,78.63,116.33,130.75,86.95,138.61,210.13,251.21,281.46,265.27,165.47,217.03,16.42,122.77,112.04,36.02,10.93,167.76,57.34,64.83,134.9,57.6,88.03,41.99,80.15,53.41,134.01,51.01,73.34,65.95,41.87,31.43,59.34,33.56,54.05,20.97,55.49,38.6,36.55,42.86,40.49,,134.06,126.95,122.13,99.9,29.95,17.2,53.84,34.6,22.63,61.12,33.2,17.53,30.05,337.77,103.14,53.0,13.92
2018-01-03,40.24,78.87,5.037,21.3,41.83,177.7,30.02,135.14,36.65,83.87,51.81,11.36,48.5,92.77,16.92,42.95,77.35,38.74,42.05,85.74,103.08,26.35,148.45,24.75,8.834,,102.02,,,47.32,10.62,20.15,179.93,53.23,59.42,21.04,85.49,24.46,48.68,211.12,40.7,413.51,56.24,88.36,156.23,135.27,62.61,106.58,122.29,42.41,110.03,70.63,122.28,37.83,77.45,48.02,192.55,110.52,74.67,69.08,43.41,187.0,50.4,77.34,125.0,148.58,378.62,136.88,53.96,25.09,37.12,14.32,99.08,63.55,115.91,157.855,70.09,153.57,141.72,48.48,56.29,78.31,33.41,16.59,736.76,13.28,73.3,69.79,75.97,5.865,234.38,33.63,20.17,75.75,46.82,54.22,28.91,168.69,72.67,35.09,91.3,67.56,37.99,34.67,61.36,44.08,87.09,94.02,26.84,47.72,34.57,42.69,28.23,63.32,51.43,31.12,80.88,115.63,130.22,90.07,139.58,213.68,252.11,281.53,266.49,165.08,222.24,16.73,123.67,112.94,36.08,10.88,169.32,57.77,65.96,134.31,58.4,88.98,42.38,81.33,54.61,134.68,52.12,73.58,66.51,42.6,30.89,59.3,33.47,53.54,20.71,52.88,38.33,36.5,43.05,39.61,,135.05,127.71,122.67,100.18,29.69,17.36,55.8,35.02,23.01,60.84,32.81,17.15,30.05,349.59,105.88,52.15,14.25
2018-01-04,40.26,79.42,5.258,21.5,42.08,181.64,30.55,136.72,35.85,85.81,52.78,11.97,49.23,93.98,17.24,43.89,78.38,39.19,43.075,87.05,104.21,26.76,150.07,24.81,8.792,,107.31,,,50.63,10.72,20.4,182.68,54.26,60.23,20.38,86.51,24.62,49.33,212.04,41.16,419.08,56.76,89.47,159.34,138.75,63.53,109.5,123.66,42.59,110.8,71.79,125.07,38.36,78.0,48.84,195.74,111.57,75.08,69.3,43.73,192.37,50.79,78.86,125.03,151.63,379.88,139.21,54.13,25.21,37.91,12.76,97.15,64.66,115.4,162.51,70.76,154.1,142.32,49.26,56.1,78.66,33.15,16.95,751.22,13.4,73.3,70.13,77.39,6.088,240.25,34.13,20.09,76.26,47.19,55.48,28.95,167.96,72.74,35.18,91.27,67.31,37.92,34.77,61.63,44.41,87.48,94.52,26.92,47.77,34.59,42.63,28.39,63.48,51.54,31.56,82.09,116.33,131.58,92.11,139.32,215.14,253.97,281.53,267.37,167.01,227.44,16.9,124.53,113.15,36.59,11.02,171.2,58.58,67.3,134.79,59.51,89.21,42.97,81.28,56.3,136.05,52.88,73.88,66.61,43.7,30.66,58.81,33.29,53.02,20.56,53.01,36.35,36.19,42.75,41.1,,136.42,127.95,124.09,100.34,29.59,17.5,55.94,34.88,22.8,60.49,32.59,17.03,30.09,346.97,106.06,51.74,14.25
2018-01-05,40.49,80.21,5.218,21.58,42.58,183.54,30.89,137.92,36.86,86.0,52.46,11.66,49.45,95.35,17.35,44.25,78.02,39.25,43.67,87.9,105.63,26.78,152.93,25.0,8.784,,108.3,,,51.6,10.9,20.56,183.5,54.64,60.5,20.8,86.17,24.76,49.46,211.51,41.34,423.87,56.99,89.79,161.47,141.03,64.73,109.97,123.17,42.42,109.98,72.18,126.11,38.72,78.28,48.91,196.22,111.62,76.14,69.44,43.9,194.85,50.68,79.13,125.27,154.1,379.43,139.43,53.74,25.59,38.27,12.95,97.34,64.61,116.25,163.26,70.91,155.77,142.87,49.54,56.92,80.53,33.72,17.17,764.72,13.68,74.55,70.85,76.98,6.152,235.02,34.43,19.31,78.34,47.42,55.71,29.15,167.21,72.71,35.44,91.77,67.18,37.77,34.95,61.76,44.93,87.86,94.93,27.24,48.56,34.72,43.14,28.58,64.04,51.65,31.6,82.99,117.7,133.77,91.43,138.65,215.57,257.92,282.72,268.77,168.5,228.85,16.98,125.83,113.61,37.11,11.02,170.8,58.57,67.12,134.97,59.01,89.12,43.04,81.55,57.08,136.04,52.97,73.75,67.18,45.28,30.65,58.23,33.19,52.56,20.33,53.01,37.3,35.88,42.89,39.12,,136.76,128.64,123.77,100.48,30.11,17.7,56.01,35.29,23.2,60.72,32.91,17.27,30.32,349.08,105.69,52.63,14.57
2018-01-08,40.7,80.37,5.404,21.55,42.28,183.83,30.88,138.55,36.91,86.1,52.81,11.85,50.13,95.93,17.52,43.79,78.48,39.15,43.92,88.56,105.99,26.97,153.72,25.28,8.802,,108.107,,,51.27,11.0,20.84,184.89,55.04,61.6,21.03,86.11,24.76,49.35,209.79,41.3,426.01,56.51,89.65,162.92,142.96,65.3,111.46,122.51,42.77,109.75,72.07,126.31,38.89,78.92,48.72,196.12,112.13,75.67,69.18,43.83,195.82,50.59,79.08,125.74,153.35,368.81,138.96,54.04,25.545,38.41,13.05,98.13,65.38,116.98,164.78,71.67,156.66,142.48,49.11,57.38,80.46,33.62,17.28,761.78,13.86,74.42,70.64,76.32,6.247,230.18,34.99,19.91,81.0,47.96,55.97,29.33,167.68,73.0,35.51,91.32,67.56,37.75,35.18,61.65,45.15,88.06,95.83,27.03,48.57,34.95,43.32,28.58,64.56,52.05,31.4,81.19,117.48,136.21,92.86,140.69,218.44,259.37,291.32,269.08,169.07,231.69,17.11,127.14,114.77,36.91,11.03,171.04,58.97,67.75,135.84,59.63,89.5,43.35,82.69,57.45,137.0,53.36,73.62,67.16,45.95,30.84,58.5,33.4,52.93,20.42,53.23,37.5,35.94,43.5,41.4,,136.78,130.44,124.54,101.34,30.06,17.87,56.71,34.66,22.59,61.86,32.72,17.3,30.23,351.63,104.07,52.93,14.51
2018-01-09,40.58,80.61,5.405,21.48,43.31,183.9314,31.03,139.09,36.52,86.63,52.01,11.71,49.28,96.0,17.26,41.71,78.53,39.29,44.62,89.36,106.66,26.92,153.55,25.33,8.794,,108.64,,,51.08,10.97,20.86,185.66,54.95,62.09,21.83,86.74,24.82,49.45,210.62,41.56,430.12,56.72,89.79,164.22,144.07,65.86,112.25,123.24,43.11,110.67,72.0,127.42,39.43,79.34,48.81,194.98,113.19,75.97,69.54,43.88,198.95,50.46,80.95,131.0,154.515,365.69,140.28,54.87,26.61,39.34,13.01,98.05,65.96,116.0,164.07,72.94,156.69,142.55,49.36,56.92,80.36,33.5,17.2,761.49,13.87,73.26,70.77,76.93,6.363,227.818,35.03,20.12,81.001,47.8,55.32,29.36,166.7,73.06,35.55,91.54,67.81,37.52,35.1,61.85,45.42,87.15,96.67,26.71,48.56,35.18,43.4,28.67,65.19,52.2,31.99,81.24,117.93,138.34,93.68,143.01,219.81,259.85,295.84,270.08,169.63,231.78,17.49,129.46,116.24,37.22,11.09,173.18,59.14,67.17,137.26,59.66,89.61,43.98,82.6,58.91,138.26,53.28,73.55,67.59,46.28,30.8,57.95,33.29,52.53,20.16,53.46,37.29,35.71,44.07,41.36,,137.81,131.27,124.84,101.05,30.05,17.08,56.86,34.43,22.65,63.03,32.78,17.36,30.35,354.15,104.37,53.5,14.63
2018-01-10,40.48,80.2,5.34,20.88,43.01,185.073,31.1,139.33,35.64,85.94,51.96,11.56,47.93,92.53,16.98,40.36,77.13,38.61,44.57,88.84,106.64,26.87,153.34,25.22,8.696,,111.76,,,50.54,10.9,20.69,184.2,54.74,61.86,22.0,87.46,24.97,49.68,210.4,42.02,431.1,57.3,89.84,162.8,143.49,66.36,112.68,125.04,42.86,110.35,71.25,126.78,39.6,80.12,49.05,194.74,114.04,75.75,69.88,43.8,197.54,50.39,81.54,136.15,154.2101,363.19,140.47,56.67,27.15,39.09,13.7,97.2,65.91,112.93,163.46,72.86,156.7,142.1,49.36,56.89,80.61,33.57,17.2,763.19,13.76,73.58,70.72,76.46,6.36,229.15,33.32,19.6701,80.67,46.42,54.86,28.84,164.67,72.26,35.55,90.57,67.58,37.24,34.75,61.23,44.25,84.28,94.85,26.45,47.3,33.99,42.79,27.98,64.27,51.77,31.65,83.34,118.09,137.84,93.41,145.29,221.0,261.11,300.61,268.02,169.01,228.85,17.38,128.34,115.83,36.91,10.71,172.72,58.98,68.01,136.55,59.2,89.61,44.09,82.84,59.26,138.27,52.92,73.5,67.28,46.68,30.56,57.21,32.74,51.89,20.2,52.53,37.14,35.41,43.31,41.05,,137.31,129.75,123.25,99.47,30.15,17.22,56.53,33.95,22.25,61.19,32.53,16.92,30.13,347.53,103.57,52.89,14.63
2018-01-11,40.83,80.04,5.518,20.95,42.88,186.185,31.2,139.62,35.64,86.91,52.17,11.9001,47.99,92.75,16.82,41.56,77.26,38.88,44.77,89.06,107.07,27.25,153.06,25.49,8.78,,112.55,,,50.66,11.05,21.34,185.94,54.87,62.82,22.22,87.99,25.09,49.95,210.91,42.19,431.78,57.13,89.73,162.31,143.72,66.59,112.39,124.1,42.91,110.22,70.87,126.06,40.28,82.24,49.46,195.33,114.33,76.08,69.94,44.34,201.45,50.63,82.01,138.74,156.62,360.6,141.04,57.3,27.16,39.12,14.33,98.45,66.09,113.33,166.26,73.74,156.5,141.8,49.86,57.2,80.75,33.81,17.13,757.77,13.36,74.0,70.48,76.67,6.41,228.01,33.24,20.27,83.0,46.85,57.25,28.91,165.69,72.19,35.5,90.32,67.92,37.86,34.61,61.14,44.43,83.84,94.15,26.43,46.41,34.04,42.47,27.27,63.56,51.51,31.72,85.23,119.6,138.8,94.52,145.0,222.65,261.23,306.03,269.68,169.39,232.33,17.44,128.55,116.47,36.92,10.96,174.24,59.61,68.86,136.83,59.16,90.29,44.08,83.29,59.59,138.98,53.62,73.66,67.31,47.36,30.48,56.55,32.22,51.12,20.32,52.67,37.26,34.92,43.06,40.92,,138.12,130.27,123.69,99.31,30.41,17.55,57.87,34.49,22.7,60.82,32.84,16.84,30.87,348.32,104.04,53.97,15.19
2018-01-12,41.1,81.15,5.472,20.98,43.43,188.99,31.43,140.07,36.11,87.82,52.12,11.8,48.41,93.93,16.81,41.61,77.79,39.34,44.64,89.55,107.31,27.42,153.7,25.44,8.86,,112.71,,,51.32,11.11,21.6,176.03,54.94,63.67,22.24,88.62,25.35,49.44,211.85,42.73,444.88,57.61,89.48,163.69,144.77,67.01,112.7,123.94,42.8,110.53,70.97,125.77,40.07,83.31,49.25,197.79,115.29,76.23,70.01,44.9,203.25,51.06,82.72,138.59,156.35,364.31,141.55,57.87,27.255,39.7,13.97,99.46,66.27,113.69,170.035,74.22,159.29,142.44,50.03,57.68,82.14,34.39,17.08,769.3201,13.81,76.24,70.92,77.38,6.461,233.49,33.63,18.9,84.81,47.21,57.6,29.35,170.14,71.73,35.63,90.68,67.6,37.59,34.65,60.99,44.17,83.6,94.1,26.41,45.77,33.75,42.33,27.16,63.31,51.23,31.84,83.91,120.2,141.8,96.69,148.71,223.45,261.92,314.79,270.92,170.12,234.01,17.5,130.74,117.29,36.97,11.12,176.77,60.75,69.81,138.58,60.02,92.64,45.29,85.01,60.87,142.39,54.48,74.37,68.1,47.74,30.38,56.23,31.76,50.26,20.3,52.45,37.51,34.68,42.98,40.82,,138.25,131.45,125.44,100.64,30.77,17.77,57.78,35.13,23.55,61.09,32.93,16.82,31.46,353.08,105.46,55.35,15.61
2018-01-16,41.21,80.75,5.357,20.95,43.77,191.71,31.64,139.49,36.01,88.9,52.88,11.8,49.25,94.67,16.81,41.36,79.33,39.72,44.2,89.03,106.64,27.84,152.66,24.93,8.83,,108.86,,,51.77,11.12,21.72,176.67,55.87,64.61,22.32,88.8,25.56,49.54,213.77,42.48,456.56,58.38,89.68,162.87,144.06,66.88,112.31,124.81,43.2,112.53,71.39,125.47,39.02,81.87,49.33,201.92,116.19,75.45,70.96,47.51,202.96,50.57,83.15,139.0,155.14,364.92,143.43,58.51,26.8201,40.0,14.02,99.85,66.8,113.23,173.41,75.2,160.01,142.44,50.57,56.83,85.97,34.06,17.09,774.27,13.81,74.21,71.09,76.23,6.498,234.68,33.16,19.33,84.33,46.4,57.25,29.37,170.94,71.96,35.71,90.82,67.51,36.9,34.79,61.31,44.39,84.5,94.73,26.54,46.05,34.47,42.45,27.45,62.75,51.87,31.81,80.56,119.81,140.42,95.78,147.3,221.2,261.1,315.69,273.24,170.46,231.97,17.3,129.65,116.74,37.14,11.11,174.54,59.32,69.16,138.25,59.62,92.28,45.04,83.87,60.8,141.92,54.59,74.86,68.79,47.5,30.34,55.99,31.67,50.17,20.35,52.01,37.38,34.55,43.15,40.96,,135.67,130.88,125.06,99.35,30.98,17.33,57.34,32.99,22.32,60.17,32.7,16.92,31.33,349.8692,105.1,55.11,15.4
