Date,AAPL,MSFT,NVDA,AVGO,ORCL,ADBE,CSCO,ACN,INTC,TXN,QCOM,AMD,AMAT,KLAC,LRCX,MU,ADI,MCHP,CDNS,SNPS,CRM,NOW,INTU,PANW,FTNT,CRWD,WDAY,DDOG,ZS,TEAM,SHOP,NFLX,META,GOOGL,AMZN,TSLA,JPM,BAC,WFC,GS,MS,BLK,C,AXP,SPGI,MCO,ICE,CME,CB,PGR,TRV,MMC,AON,MET,PRU,AIG,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,ISRG,VRTX,REGN,AMGN,GILD,BSX,EW,DXCM,IQV,A,ZBH,IDXX,BKNG,HD,MCD,SBUX,NKE,LOW,TJX,ORLY,AZO,TSCO,ROST,YUM,DRI,CMG,ULTA,EBAY,ETSY,W,DHI,LEN,WMT,COST,PG,KO,PEP,PM,MO,MDLZ,CL,CHD,KMB,SJM,CAG,K,CPB,GIS,HRL,TSN,KHC,MNST,GE,HON,CAT,UPS,DE,RTX,LMT,BA,NOC,GD,FDX,CSX,NSC,UNP,CTAS,FAST,ROK,EMR,ETN,ITW,XOM,CVX,COP,EOG,SLB,PXD,MPC,PSX,VLO,HES,NEE,DUK,SO,AEP,EXC,D,PEG,XEL,PCG,SRE,LIN,APD,SHW,ECL,PPG,NEM,FCX,NUE,CF,MOS,TMUS,VZ,T,CMCSA,CHTR,DIS,OMC,IPG
2018-01-02,39.81,79.02,4.84,20.8,41.95,175.85,30.13,135.6,38.94,83.48,51.56,10.42,47.13,93.46,16.52,40.51,76.66,37.96,42.0,85.9,101.37,26.2,148.9,24.33,8.752,,102.05,,,45.94,10.16,19.61,176.31,52.22,58.6,20.8,85.61,24.51,48.69,214.91,41.36,422.15,57.09,89.0,158.14,137.55,63.67,108.39,126.31,43.64,114.1,71.96,125.44,38.41,77.58,48.61,192.99,111.16,74.83,68.44,43.9,186.63,50.31,78.15,122.63,150.0,376.97,136.56,53.12,24.94,37.17,14.41,98.52,63.38,113.15,159.57,68.72,155.52,143.14,48.6,56.37,79.9,34.31,16.09,716.54,13.27,74.45,70.66,76.11,5.818,224.44,33.87,20.5,80.05,46.91,53.33,29.06,167.66,73.79,35.54,93.07,68.84,38.71,35.37,62.0,45.11,90.18,95.31,27.23,48.19,35.68,43.22,28.9,64.8,52.31,31.7,78.86,117.13,132.65,87.26,138.72,211.12,254.77,281.79,268.89,168.43,217.52,16.6,123.73,112.48,36.32,11.13,169.98,57.64,66.27,137.16,57.71,88.16,42.2,80.55,53.78,135.58,51.11,73.77,66.33,42.72,31.84,60.33,34.31,54.71,21.13,56.31,39.12,37.11,43.71,41.25,,134.95,127.21,122.85,100.56,29.99,17.25,53.93,34.89,22.63,61.47,33.42,17.85,30.31,338.43,103.51,53.97,14.04
2018-01-03,40.37,78.95,5.046,21.4,41.91,178.0,30.16,135.14,38.18,84.09,52.23,11.61,48.83,93.55,17.02,43.39,77.55,38.79,42.16,85.94,103.36,26.4,148.91,24.8,8.86,,103.88,,,47.32,10.64,20.21,180.48,53.25,59.42,21.4,85.79,24.63,48.78,213.11,40.99,413.87,56.52,88.56,156.52,135.31,62.92,107.07,122.5,42.77,110.03,70.91,122.85,37.86,77.64,48.08,193.46,110.88,75.08,69.44,43.62,187.93,50.99,77.36,125.71,153.5,380.61,137.78,54.49,25.3,37.4,14.49,99.76,63.57,116.62,157.9,70.3,153.72,142.73,48.59,56.93,78.81,33.93,16.66,740.13,13.35,74.24,69.93,76.07,5.88,235.77,33.71,20.84,78.5,46.82,54.22,28.93,169.09,72.85,35.21,91.5,67.89,38.2,34.79,61.74,44.65,88.92,94.82,27.13,48.21,35.11,43.33,28.72,64.38,51.72,31.34,82.09,116.47,131.59,90.25,139.8,213.96,252.38,282.48,266.6,165.67,223.33,16.76,124.49,113.65,36.08,11.01,169.32,58.18,66.29,135.06,58.65,89.38,42.44,81.57,55.28,135.62,52.16,73.65,66.57,42.78,31.36,59.46,33.62,53.99,21.03,53.4,38.43,36.61,43.76,39.61,,135.46,128.45,123.34,100.92,30.26,17.95,56.06,35.29,23.34,61.46,33.51,17.58,30.58,354.06,106.59,53.92,14.68
2018-01-04,40.37,79.44,5.334,21.75,42.32,181.93,30.65,136.92,36.54,86.16,53.0,12.095,49.7,95.4,17.4,44.85,78.91,39.53,43.19,87.25,104.44,26.78,150.07,24.99,9.022,,107.54,,,51.06,10.83,20.62,183.47,54.4,60.25,20.86,86.67,24.69,49.38,212.8,41.39,419.12,57.03,89.57,159.35,138.75,63.79,110.0,123.89,42.85,111.49,71.85,125.72,38.43,78.16,48.95,195.88,111.75,75.75,70.51,43.78,192.84,51.43,78.94,128.58,153.39,391.9,140.67,55.19,25.4,38.67,13.5,99.45,65.37,117.16,162.91,72.2,155.51,142.74,49.47,56.86,79.18,33.58,17.04,759.89,13.47,74.08,70.32,78.27,6.181,248.01,34.97,20.46,78.51,48.56,56.09,29.13,171.94,72.92,35.26,91.42,67.81,38.17,34.97,61.71,44.44,87.8,94.89,27.08,47.94,34.69,42.91,28.48,63.69,51.65,32.03,82.45,116.4,132.31,92.33,140.96,216.16,254.13,283.88,268.25,167.46,227.69,17.11,125.23,114.26,36.65,11.09,173.26,58.83,68.32,135.19,59.75,89.72,43.21,81.63,56.7,137.57,53.09,74.3,67.16,44.02,30.84,59.29,33.51,53.59,20.81,53.61,36.35,36.4,43.11,41.58,,136.94,129.49,124.25,101.48,29.89,17.76,56.72,35.33,23.11,61.46,32.93,17.25,30.37,356.75,107.31,52.3,14.36
2018-01-05,40.58,80.38,5.295,21.78,42.7,185.0,31.04,138.34,37.31,86.33,52.89,12.19,49.84,95.78,17.4,44.98,78.61,39.68,43.78,88.28,106.19,27.02,153.21,25.17,8.864,,109.94,,,51.62,11.06,20.73,184.16,54.72,60.88,21.11,87.35,25.02,50.0,214.42,41.7,426.28,57.56,90.25,161.72,141.28,64.92,110.15,124.54,42.86,110.99,72.39,126.51,39.02,78.81,49.1,196.63,111.94,76.28,69.99,44.52,195.62,51.02,79.27,126.96,155.54,383.3,140.84,54.58,25.86,38.31,13.1,97.44,64.61,116.79,165.05,71.48,156.11,143.36,49.69,57.13,80.74,33.72,17.3,767.38,13.71,74.87,71.04,77.73,6.2,244.44,34.47,20.33,79.96,47.85,56.23,29.16,169.63,73.27,35.62,91.89,67.18,38.03,35.05,62.06,45.18,88.46,95.56,27.42,48.74,34.97,43.32,28.84,64.46,52.17,31.75,84.6,118.15,134.29,92.95,141.49,216.62,257.93,282.76,270.56,170.45,231.13,17.18,125.83,114.93,37.26,11.11,172.3,59.03,67.65,136.6,59.73,89.73,43.4,81.95,57.64,137.2,53.25,74.16,67.3,45.72,30.81,59.06,33.44,53.17,20.68,53.68,37.41,36.31,43.1,41.86,,137.47,129.0,124.46,100.75,30.23,17.84,56.58,35.7,23.54,61.12,33.2,17.43,30.7,352.02,107.05,53.04,14.67
2018-01-08,40.8,80.92,5.445,21.7,42.59,184.95,31.02,139.01,37.17,86.21,53.06,12.01,50.17,95.93,17.52,44.18,78.86,39.4,43.95,88.74,106.41,27.01,154.37,25.37,8.858,,108.72,,,51.89,11.0,21.0,185.76,55.09,61.8,21.07,86.47,24.91,49.92,212.4,41.49,426.35,57.15,90.44,163.28,143.53,65.61,111.81,123.84,42.98,110.64,72.61,126.91,39.1,79.33,48.98,199.19,112.75,76.81,71.36,44.38,197.96,50.87,79.36,126.24,155.15,381.86,140.56,54.7,25.91,38.69,13.32,98.48,65.55,117.51,166.5,71.76,156.66,143.15,49.88,57.53,81.07,34.45,17.4,775.16,13.94,75.46,71.15,77.86,6.278,237.25,35.09,20.24,81.09,48.09,56.54,29.34,167.74,73.0,35.6,91.74,67.64,37.96,35.28,61.78,45.15,88.09,96.26,27.47,48.75,35.0,43.47,28.73,64.62,52.05,31.53,83.75,118.83,137.52,93.13,141.71,223.38,260.28,294.09,270.14,169.51,233.43,17.11,127.15,114.79,37.27,11.05,171.84,59.59,68.06,136.07,59.69,89.66,43.48,83.27,57.95,137.0,53.4,74.37,67.69,46.54,30.88,58.68,33.52,52.95,20.45,53.48,37.65,36.08,43.66,41.71,,137.71,130.61,125.09,101.78,30.37,18.09,56.94,35.7,23.48,62.01,33.05,17.43,30.59,354.47,105.35,53.28,14.65
2018-01-09,40.84,81.33,5.494,21.87,43.6,185.57,31.23,140.01,37.53,87.06,52.57,12.0,51.22,97.5,17.69,44.14,78.85,39.74,45.0,89.91,107.4,27.13,154.84,25.73,8.938,,109.95,,,52.31,11.24,21.21,187.24,55.46,62.85,22.34,86.95,24.88,49.64,210.77,41.59,430.12,56.84,89.9,165.07,144.28,65.9,112.38,124.0,43.14,111.0,72.04,127.75,39.47,79.48,48.9,196.24,113.28,76.38,70.1,44.07,200.27,51.09,80.95,131.24,156.81,370.15,140.6,54.9,26.77,39.42,13.99,98.96,66.44,118.5,165.38,73.17,157.56,143.55,49.65,57.6,81.01,33.78,17.35,767.92,13.99,74.73,71.46,77.95,6.393,231.2,35.58,20.35,83.0,48.4,56.22,29.87,169.26,73.42,35.6,91.78,68.15,38.17,35.31,62.12,45.52,88.88,96.95,26.95,48.98,35.24,43.76,28.75,65.26,52.53,32.16,82.22,118.08,139.38,93.95,143.44,220.29,260.31,295.93,270.34,170.04,235.26,17.54,129.67,116.74,37.42,11.23,174.17,59.58,68.47,137.39,59.86,90.06,44.02,83.63,59.08,139.14,53.65,73.94,68.07,46.86,31.25,58.72,33.75,53.27,20.59,54.13,37.73,36.29,44.57,41.76,,138.38,131.49,125.07,101.82,30.21,17.92,57.25,34.77,22.97,63.49,33.14,17.42,30.41,356.66,104.63,54.05,14.84
2018-01-10,40.52,80.61,5.394,21.3,43.25,185.21,31.12,140.41,36.38,87.24,52.44,11.63,49.24,95.8,17.35,40.91,78.24,39.41,44.89,89.28,107.08,26.99,155.07,25.27,8.812,,111.9,,,52.22,10.97,20.76,185.5,54.89,62.26,22.15,87.52,25.02,49.78,212.61,42.28,434.98,57.55,89.9,165.0,145.15,66.73,113.47,125.54,43.34,110.92,72.05,128.01,39.68,80.29,49.13,196.29,114.22,75.85,70.21,43.87,200.32,50.78,82.21,141.17,156.0,366.22,142.25,57.47,27.7,39.65,13.75,98.37,67.17,116.07,165.53,72.86,157.61,142.95,49.68,57.29,81.13,33.72,17.35,768.62,13.93,74.0,71.27,77.14,6.379,231.17,34.49,20.66,80.97,48.02,55.27,29.19,166.34,72.98,35.76,91.68,68.33,37.75,35.0,61.81,45.19,86.77,96.41,26.97,48.38,34.9,43.18,28.65,65.41,52.6,32.84,83.39,118.96,138.93,93.43,147.63,221.61,261.89,302.51,270.63,169.63,230.26,17.65,129.83,117.04,37.18,10.81,174.22,59.02,68.29,138.29,59.9,89.97,44.54,82.9,59.37,139.22,53.19,73.95,67.28,46.96,30.71,57.82,33.2,52.57,20.3,53.39,37.41,35.78,43.81,41.1,,138.37,130.72,124.98,100.89,30.45,17.28,56.92,34.37,22.28,62.7,32.68,17.31,30.34,354.02,104.47,53.33,14.71
2018-01-11,40.85,80.86,5.562,21.11,43.26,187.29,31.5,140.37,35.94,87.4,52.22,12.08,48.76,94.24,17.14,42.44,77.65,39.08,44.9,89.41,107.4,27.32,154.26,25.5,8.818,,113.58,,,51.15,11.11,21.43,186.95,55.16,62.99,22.35,88.48,25.26,50.71,213.23,42.44,434.66,57.76,90.84,163.68,144.63,66.99,113.56,125.29,43.17,110.58,71.38,127.55,40.28,82.62,49.61,195.74,114.68,76.35,70.52,44.45,202.47,50.93,82.61,140.67,158.0,364.58,142.41,57.91,27.58,39.52,14.75,99.27,66.67,114.8,166.69,73.83,156.72,142.99,50.12,57.42,81.2,33.99,17.24,769.81,13.73,74.54,71.03,76.82,6.452,231.4,33.57,20.32,83.0,46.98,57.45,29.18,166.05,72.57,35.78,91.3,69.17,38.02,34.93,61.62,44.85,86.02,95.38,26.66,47.61,34.25,43.04,28.1,64.74,52.18,31.86,86.26,119.69,139.86,94.77,146.21,223.02,262.57,306.93,270.23,169.46,233.09,17.49,128.92,117.39,37.02,11.0,174.28,59.96,69.14,137.14,59.46,90.4,44.56,83.53,59.78,139.68,53.92,74.46,68.02,47.56,30.63,56.92,32.62,52.03,20.41,53.12,37.45,35.4,43.92,41.26,,138.35,130.3,123.84,99.8,30.44,17.8,58.25,34.57,22.71,61.51,33.0,16.98,30.91,350.28,104.74,54.07,15.26
2018-01-12,41.22,81.35,5.528,21.09,43.54,189.09,31.57,140.9,36.48,87.95,52.54,11.82,48.55,94.25,16.88,41.75,78.22,39.57,44.98,89.89,107.63,27.53,153.84,25.54,8.888,,114.3,,,52.04,11.13,21.72,176.69,55.05,63.67,22.58,89.26,25.44,50.35,213.23,42.77,449.75,57.7,90.32,164.63,145.55,67.12,113.51,124.83,43.15,111.38,71.4,126.94,40.61,83.75,49.38,198.6,115.36,76.66,70.5,44.97,204.32,51.21,82.73,139.71,157.16,367.01,142.0,58.38,27.46,40.0,14.56,99.93,66.49,114.85,171.35,74.53,159.85,142.84,50.66,57.85,82.47,34.44,17.41,773.45,13.83,76.34,71.19,77.56,6.537,233.54,33.71,19.66,85.07,47.7,57.68,29.38,170.23,72.29,35.82,90.76,68.68,37.96,34.91,61.45,44.65,84.26,94.65,26.61,46.73,34.14,42.72,27.42,63.82,51.73,32.07,85.77,120.81,142.44,97.01,149.15,224.07,262.17,314.79,271.21,170.9,235.72,17.5,131.63,117.56,37.37,11.17,177.17,60.88,70.39,138.8,60.04,92.69,45.49,85.17,61.13,143.12,54.51,74.4,68.35,48.62,30.56,56.55,32.22,51.19,20.47,52.82,37.77,34.98,43.23,40.9,,139.14,132.47,125.83,100.93,30.91,18.07,58.92,35.44,23.68,61.72,33.03,16.89,31.94,357.39,105.76,55.38,15.66
2018-01-16,41.63,82.66,5.539,21.24,44.13,195.92,32.1,141.56,36.57,90.18,53.04,12.05,49.99,95.91,17.15,42.07,79.35,40.3,45.22,90.4,109.27,28.26,155.65,25.69,9.006,,112.93,,,53.38,11.47,22.42,180.1,56.55,66.15,22.5,89.15,26.15,50.03,216.15,43.62,457.82,59.14,91.35,165.7,146.71,67.47,114.34,125.92,43.44,113.1,72.22,127.43,40.32,82.53,49.53,203.77,116.5,76.14,71.15,47.9,207.18,51.15,83.77,140.67,158.28,366.48,144.56,58.68,27.53,40.45,14.27,100.43,67.73,114.38,174.5,75.82,161.78,143.05,50.6,58.1,87.18,35.16,17.32,789.04,14.08,77.41,72.32,78.11,6.58,238.29,33.78,19.73,86.59,47.5,58.29,29.66,172.25,72.36,35.74,90.96,68.02,37.72,34.8,61.6,44.61,84.84,95.05,26.66,46.19,34.96,42.48,27.62,63.77,52.15,32.04,82.18,121.22,144.88,97.71,150.65,227.58,266.08,323.86,277.7,174.61,236.36,17.87,131.29,118.62,37.21,11.3,178.82,60.3,70.66,140.45,60.41,93.73,45.96,85.9,61.43,145.07,55.36,75.86,69.64,48.68,30.62,56.62,32.12,50.65,20.55,52.85,38.02,34.71,43.36,41.46,,140.31,134.55,126.71,101.4,31.51,17.67,58.01,34.95,23.74,61.7,32.86,17.09,31.96,352.18,107.42,56.64,15.88
