Date,AAPL,MSFT,NVDA,AVGO,ORCL,ADBE,CSCO,ACN,INTC,TXN,QCOM,AMD,AMAT,KLAC,LRCX,MU,ADI,MCHP,CDNS,SNPS,CRM,NOW,INTU,PANW,FTNT,CRWD,WDAY,DDOG,ZS,TEAM,SHOP,NFLX,META,GOOGL,AMZN,TSLA,JPM,BAC,WFC,GS,MS,BLK,C,AXP,SPGI,MCO,ICE,CME,CB,PGR,TRV,MMC,AON,MET,PRU,AIG,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,ISRG,VRTX,REGN,AMGN,GILD,BSX,EW,DXCM,IQV,A,ZBH,IDXX,BKNG,HD,MCD,SBUX,NKE,LOW,TJX,ORLY,AZO,TSCO,ROST,YUM,DRI,CMG,ULTA,EBAY,ETSY,W,DHI,LEN,WMT,COST,PG,KO,PEP,PM,MO,MDLZ,CL,CHD,KMB,SJM,CAG,K,CPB,GIS,HRL,TSN,KHC,MNST,GE,HON,CAT,UPS,DE,RTX,LMT,BA,NOC,GD,FDX,CSX,NSC,UNP,CTAS,FAST,ROK,EMR,ETN,ITW,XOM,CVX,COP,EOG,SLB,PXD,MPC,PSX,VLO,HES,NEE,DUK,SO,AEP,EXC,D,PEG,XEL,PCG,SRE,LIN,APD,SHW,ECL,PPG,NEM,FCX,NUE,CF,MOS,TMUS,VZ,T,CMCSA,CHTR,DIS,OMC,IPG
2018-01-02,40.31,78.86,4.928,21.38,41.12,177.7,30.27,135.9,39.34,83.84,52.22,10.98,48.38,93.79,16.89,42.58,77.55,38.75,42.05,86.03,102.88,26.35,149.37,24.76,8.87,,103.4,,,47.06,10.55,20.11,180.02,53.22,59.45,21.37,85.87,24.63,48.67,213.16,40.91,414.17,56.53,88.29,156.39,135.85,62.84,107.41,122.76,42.8,110.49,70.69,122.86,37.93,77.77,48.2,193.11,110.78,75.03,69.34,43.61,188.76,50.82,77.53,125.08,152.9,380.07,137.85,54.53,25.28,37.19,14.5,99.76,63.55,116.01,157.81,70.08,153.74,142.72,48.33,56.94,78.7,34.23,16.62,736.54,13.32,74.11,70.19,75.75,5.859,229.63,33.77,20.83,81.02,46.62,54.1,28.85,168.64,72.77,35.25,91.62,67.91,38.25,34.71,61.76,44.59,88.88,94.8,27.11,48.11,35.08,42.93,28.77,64.4,51.51,31.36,80.65,117.09,131.59,89.9,139.9,211.76,252.03,282.83,267.04,165.9,223.62,16.81,124.58,113.37,36.23,11.01,169.85,58.19,65.96,135.41,58.54,89.46,42.38,80.95,54.93,134.5,51.94,73.83,66.73,42.61,31.57,59.58,33.71,54.14,21.14,55.68,38.62,36.79,43.86,40.52,,135.46,128.17,123.13,100.92,30.22,17.91,55.87,35.12,23.24,61.6,33.66,17.61,30.82,348.97,106.22,54.05,14.72
2018-01-03,40.3,79.22,5.253,21.62,42.07,181.04,30.51,136.52,38.0,86.12,52.81,11.55,49.23,94.88,17.18,43.86,78.51,39.33,42.93,87.06,103.74,26.58,149.79,24.95,9.006,,105.17,,,50.4,10.78,20.51,183.25,54.13,60.21,21.15,85.95,24.55,49.05,211.18,41.02,418.54,56.71,88.84,158.9,138.39,63.79,109.13,123.72,42.77,110.84,71.61,124.82,38.17,77.79,48.74,195.13,111.84,75.44,70.42,43.55,192.22,50.93,78.56,127.94,152.01,391.18,140.45,54.94,25.56,38.2,14.52,99.52,65.16,116.81,162.05,71.63,154.54,142.12,49.24,56.93,79.04,33.62,16.92,749.43,13.42,74.07,70.13,77.49,6.18,245.12,34.8,20.41,78.45,48.27,56.09,29.11,170.66,72.69,35.17,91.38,67.83,38.11,34.85,61.52,44.3,87.39,94.56,26.97,47.89,34.58,42.71,28.48,63.67,51.51,31.56,81.42,116.12,131.79,91.89,140.54,214.87,254.15,283.75,268.28,166.94,226.42,17.03,124.58,114.01,36.59,11.01,172.34,58.73,68.28,135.98,59.69,90.11,43.16,82.15,56.36,137.16,53.05,74.32,67.08,43.99,30.9,59.39,33.52,53.68,20.86,53.53,38.42,36.55,43.15,41.6,,136.2,128.68,123.93,101.08,29.96,17.64,56.6,35.13,23.03,61.19,32.96,17.2,30.32,353.03,106.67,52.26,14.36
2018-01-04,40.49,79.92,5.28,21.62,42.49,183.22,30.6,138.14,37.31,86.0,52.88,12.12,49.51,95.05,17.26,45.71,78.42,39.43,43.58,87.89,105.11,26.77,152.47,24.88,8.8,,109.25,,,51.6,11.0,20.56,182.91,54.34,60.48,20.97,87.18,24.87,49.66,214.13,41.65,424.06,57.41,90.31,161.29,140.94,65.0,110.29,124.22,42.77,110.84,72.36,126.53,38.82,78.48,48.93,195.98,111.83,75.77,70.02,44.25,194.63,50.84,78.94,125.64,153.07,380.42,139.86,54.38,25.32,38.47,13.06,97.28,64.68,116.65,163.96,70.97,155.77,143.12,49.42,56.9,79.66,33.67,17.18,761.26,13.67,74.49,70.85,77.48,6.142,244.88,34.22,20.23,79.3,47.55,55.86,29.13,169.34,73.2,35.67,91.83,67.31,37.96,34.93,61.92,45.05,88.4,95.31,27.42,48.65,34.87,43.2,28.84,64.08,52.11,31.68,83.12,117.69,133.6,92.49,141.35,215.55,258.51,282.67,269.94,169.81,229.94,16.94,124.93,113.39,37.22,11.06,171.57,58.81,67.55,136.13,59.78,89.83,43.66,82.17,57.75,137.89,53.1,74.12,67.3,45.05,30.74,58.93,33.37,53.04,20.57,53.28,37.29,36.26,42.9,41.32,,136.72,127.98,124.93,100.47,30.3,17.89,56.46,35.49,23.39,60.6,33.07,17.36,30.52,349.79,106.63,52.78,14.66
2018-01-05,40.95,80.91,5.325,21.75,42.74,185.34,31.02,139.28,37.57,86.66,53.23,11.88,49.79,97.09,17.53,44.66,78.74,39.54,43.99,88.93,106.51,27.0,154.45,25.5,8.82,,109.32,,,51.87,11.06,21.0,185.41,55.06,61.46,21.11,86.62,24.99,49.99,213.04,41.63,427.68,57.33,90.51,163.44,143.28,65.54,111.01,124.45,42.93,110.64,72.86,127.6,39.19,79.27,49.14,199.72,112.75,76.7,71.24,44.21,197.96,50.99,79.44,126.34,155.69,382.56,140.69,54.84,25.97,38.62,13.32,98.56,65.71,117.81,166.6,71.61,157.39,143.4,49.99,57.38,81.37,34.44,17.35,775.5,13.99,75.47,71.26,78.1,6.276,237.96,35.21,20.25,80.75,47.93,56.38,29.3,168.13,73.25,35.66,92.1,67.85,38.06,35.38,61.99,45.17,88.21,96.2,27.5,48.8,35.0,43.57,28.76,64.56,52.06,31.75,83.17,118.51,135.72,92.77,141.95,217.4,260.85,294.26,269.65,169.39,230.85,17.23,127.38,114.83,37.33,11.08,171.84,59.59,68.07,136.03,59.73,89.68,43.57,83.07,58.15,137.3,53.61,74.13,67.61,46.45,30.88,58.66,33.43,52.93,20.4,53.29,37.6,36.01,43.66,41.71,,137.87,130.64,125.58,101.71,30.41,18.03,56.99,35.55,23.42,62.14,33.0,17.43,30.79,350.88,106.05,53.61,14.68
2018-01-08,40.8,80.99,5.488,21.8,43.19,185.04,31.35,140.39,37.57,87.08,53.07,12.28,51.0,97.35,17.66,44.42,78.88,39.7,44.92,89.76,107.26,27.06,154.54,25.61,9.0,,109.94,,,51.91,11.24,21.21,186.83,55.25,62.34,22.43,86.75,24.81,49.43,209.95,41.46,430.87,56.66,89.68,164.82,144.16,65.78,112.55,123.82,43.06,110.04,72.09,127.61,39.29,79.22,48.81,196.25,112.9,76.31,70.1,43.95,198.28,50.84,79.89,130.62,156.89,370.06,140.65,54.75,25.81,39.38,13.86,98.6,65.85,118.03,165.08,72.72,157.02,143.31,49.74,57.89,80.49,33.77,17.33,766.48,13.95,74.78,71.38,77.68,6.369,231.14,35.31,20.32,83.05,48.28,56.09,29.74,168.78,73.63,35.6,91.57,67.75,38.02,35.2,62.08,45.5,89.15,97.08,27.11,48.96,35.26,43.72,28.8,65.27,52.49,32.02,82.0,117.87,139.13,93.9,142.65,219.46,259.65,295.51,269.68,169.39,233.22,17.53,129.33,116.43,37.39,11.2,173.59,59.4,68.61,137.3,60.0,90.13,44.02,83.47,59.1,138.87,53.65,74.06,67.75,46.74,31.13,58.84,33.73,53.4,20.62,54.11,37.72,36.28,44.59,41.73,,138.02,131.36,125.14,101.54,30.37,17.95,57.31,34.78,22.93,62.62,32.94,17.48,30.37,356.55,104.53,53.79,14.79
2018-01-09,40.79,80.94,5.487,21.5,43.43,186.7,31.15,140.86,36.63,87.67,52.27,11.82,50.03,96.5,17.63,41.9,78.72,39.65,45.07,89.69,107.55,27.09,155.51,25.38,8.864,,109.7,,,52.72,11.07,20.93,186.42,55.18,62.64,22.25,87.19,24.94,49.6,211.72,41.78,434.49,57.25,90.01,164.88,145.14,66.62,113.22,125.82,43.42,110.9,72.09,127.93,39.58,80.16,49.12,197.23,114.69,76.25,70.63,44.06,201.59,50.93,82.71,132.53,156.01,366.22,142.81,57.47,27.96,39.84,13.65,98.54,67.47,116.13,165.73,73.25,157.89,142.98,49.63,57.48,81.21,33.7,17.42,770.95,13.99,74.12,71.19,77.16,6.387,232.92,35.07,20.9,81.25,48.24,55.63,29.38,166.82,73.1,35.78,91.64,68.24,37.62,35.19,62.17,45.46,87.18,97.15,27.02,48.69,35.27,43.49,28.8,65.71,52.58,32.74,83.26,118.84,139.46,93.86,146.62,221.86,261.51,303.4,271.55,170.36,232.43,17.68,130.2,117.73,37.24,11.17,174.23,59.49,68.57,138.35,59.74,89.64,44.38,82.73,59.18,138.42,53.35,73.81,67.66,46.72,30.91,58.15,33.31,52.77,20.38,53.55,37.58,35.85,44.2,41.4,,138.37,131.43,125.11,101.11,30.18,17.14,56.93,34.57,22.77,63.1,32.82,17.36,30.47,354.76,104.45,53.54,14.76
2018-01-10,40.78,80.57,5.53,21.05,43.2,187.11,31.32,140.37,35.69,87.12,52.26,11.96,48.61,93.92,17.11,42.21,77.4,38.98,44.84,89.34,107.2,27.25,154.25,25.51,8.82,,114.14,,,51.05,11.1,21.25,186.39,55.05,62.72,22.32,88.15,25.17,50.29,212.05,42.27,432.56,57.51,90.64,163.36,143.92,66.99,113.42,125.34,43.04,110.59,71.36,127.69,40.09,81.85,49.42,195.76,114.55,76.29,70.24,44.45,201.78,50.85,82.4,141.25,157.38,364.04,142.41,57.92,27.52,39.5,14.65,98.87,66.55,114.58,166.14,73.55,156.82,142.96,50.17,57.6,80.89,34.05,17.23,767.78,13.83,74.28,71.01,76.61,6.436,230.45,33.45,20.26,82.96,46.54,56.95,29.17,166.04,72.63,35.66,91.17,68.72,38.0,34.89,61.5,44.92,85.81,95.14,26.61,47.44,34.17,42.99,28.0,64.7,52.09,31.8,84.87,119.66,138.99,94.35,146.04,222.9,261.93,305.15,269.12,169.43,232.66,17.45,128.52,116.64,37.03,10.98,173.69,59.72,68.98,137.08,59.27,90.22,44.16,82.95,59.73,139.0,53.74,74.07,67.7,47.2,30.65,57.35,32.84,51.96,20.27,52.85,37.41,35.5,43.92,41.23,,137.79,129.98,123.7,99.73,30.36,17.68,57.9,34.53,22.59,61.46,32.87,16.96,30.83,350.83,104.0,54.0,15.19
2018-01-11,41.01,80.81,5.538,21.1,43.33,188.92,31.47,140.55,36.45,87.89,52.4,12.1404,48.52,93.89,16.88,41.75,78.33,39.48,44.87,89.71,107.5,27.52,153.76,25.69,8.852,,114.24,,,52.04,11.11,21.72,186.32,55.14,63.83,22.53,88.62,25.26,50.2,212.71,42.48,437.73,57.44,90.2,164.1,144.77,66.91,113.35,124.66,43.03,110.79,71.24,126.39,40.43,83.34,49.54,196.8,115.21,76.54,70.45,44.68,204.09,51.2,82.69,140.46,158.4,365.83,141.71,58.18,27.43,40.0,14.56,99.86,66.56,114.35,171.51,74.34,159.18,142.86,50.32,57.66,82.23,34.32,17.32,773.31,13.82,76.01,70.96,77.25,6.51,233.15,33.55,20.56,85.39,47.52,58.04,29.27,169.59,72.37,35.64,90.71,68.22,38.0,34.79,61.28,44.54,84.12,94.36,26.56,46.7,34.11,42.59,27.32,63.87,51.59,31.98,85.32,120.29,141.78,97.02,148.27,223.05,262.0,312.63,270.81,170.06,235.42,17.51,130.57,117.19,37.43,11.12,177.14,60.78,70.25,138.47,59.85,92.96,45.33,85.27,60.87,143.25,54.31,74.28,67.99,48.73,30.63,56.75,32.34,51.38,20.51,52.85,37.86,35.03,43.26,41.04,,139.11,131.78,125.44,100.55,30.76,18.01,58.94,35.59,23.61,61.41,33.14,16.89,31.96,355.1,105.45,55.21,15.6
2018-01-12,41.44,82.19,5.507,21.16,43.83,195.05,32.08,141.43,36.28,89.52,52.36,12.02,48.74,94.81,16.82,41.74,79.04,40.05,45.07,90.37,108.62,27.64,155.19,25.59,8.988,,112.9,,,52.57,11.28,22.12,177.99,56.07,65.26,22.41,90.08,25.7,49.84,214.3,43.21,452.06,58.42,90.42,165.25,146.19,67.27,113.3,125.64,43.25,112.79,71.87,127.58,40.31,83.61,49.39,199.64,115.98,77.07,71.2,45.5,205.57,51.1,83.36,139.68,157.93,364.54,144.11,58.15,27.46,40.28,14.19,100.04,67.43,114.18,173.11,75.37,160.6,143.01,50.66,58.0,86.63,34.94,17.24,787.93,14.02,76.95,71.93,77.58,6.547,237.351,33.73,19.54,85.58,47.4,57.79,29.52,171.79,71.94,35.72,91.1,67.98,37.64,34.76,61.34,44.22,84.33,94.58,26.53,45.79,33.94,42.41,27.48,63.82,51.73,31.89,84.15,121.17,142.7,97.48,149.9,225.68,266.05,320.34,275.71,174.26,235.99,17.68,130.83,117.87,37.06,11.22,178.67,60.8,70.46,139.71,60.26,93.68,46.0,85.69,61.6,144.79,55.22,76.17,69.57,48.57,30.6,56.48,32.04,50.44,20.5,52.67,37.94,34.75,43.2,41.11,,139.26,134.1,126.04,101.07,31.51,17.9,57.97,35.43,23.74,61.26,32.98,17.09,31.84,354.0,106.85,56.39,15.8
2018-01-16,41.23,81.06,5.442,21.08,43.9,192.46,31.82,139.54,36.22,89.68,54.66,11.91,49.7,95.14,16.99,41.85,79.97,40.0,44.28,89.27,107.29,27.96,153.09,25.27,8.868,,110.09,,,52.82,11.19,22.15,177.01,56.07,65.24,22.67,89.76,25.74,49.8,215.49,42.8,458.13,58.62,89.85,163.56,144.59,67.09,112.9,125.67,43.5,113.45,71.45,125.71,39.2,82.24,49.47,203.36,116.85,75.57,72.73,48.15,203.46,50.76,83.43,140.02,155.71,367.77,144.5,59.05,26.98,40.02,14.1,99.93,66.96,113.78,176.1,75.38,160.51,143.1,50.79,56.88,86.73,34.19,17.19,781.02,13.94,74.46,71.34,76.57,6.547,237.18,33.43,19.35,84.5,46.41,57.39,29.47,171.51,72.43,36.02,91.47,68.22,37.26,35.19,61.99,44.43,85.29,95.02,26.57,46.68,34.63,42.84,27.62,62.84,52.6,32.28,81.69,120.27,141.88,96.6,148.34,221.36,261.19,319.34,273.43,170.74,234.02,17.35,129.7,117.15,37.24,11.19,176.18,59.91,69.71,138.65,59.88,92.57,45.07,84.1,60.97,141.96,54.72,75.1,69.14,47.68,30.64,56.14,31.92,50.47,20.55,52.2,37.52,34.85,43.39,41.18,,136.48,131.32,125.44,99.76,31.67,17.51,57.91,33.14,22.39,60.57,32.85,17.0,31.38,352.93,105.16,55.21,15.42
