Date,AAPL,MSFT,NVDA,AVGO,ORCL,ADBE,CSCO,ACN,INTC,TXN,QCOM,AMD,AMAT,KLAC,LRCX,MU,ADI,MCHP,CDNS,SNPS,CRM,NOW,INTU,PANW,FTNT,CRWD,WDAY,DDOG,ZS,TEAM,SHOP,NFLX,META,GOOGL,AMZN,TSLA,JPM,BAC,WFC,GS,MS,BLK,C,AXP,SPGI,MCO,ICE,CME,CB,PGR,TRV,MMC,AON,MET,PRU,AIG,UNH,JNJ,LLY,ABBV,MRK,TMO,ABT,DHR,ISRG,VRTX,REGN,AMGN,GILD,BSX,EW,DXCM,IQV,A,ZBH,IDXX,BKNG,HD,MCD,SBUX,NKE,LOW,TJX,ORLY,AZO,TSCO,ROST,YUM,DRI,CMG,ULTA,EBAY,ETSY,W,DHI,LEN,WMT,COST,PG,KO,PEP,PM,MO,MDLZ,CL,CHD,KMB,SJM,CAG,K,CPB,GIS,HRL,TSN,KHC,MNST,GE,HON,CAT,UPS,DE,RTX,LMT,BA,NOC,GD,FDX,CSX,NSC,UNP,CTAS,FAST,ROK,EMR,ETN,ITW,XOM,CVX,COP,EOG,SLB,PXD,MPC,PSX,VLO,HES,NEE,DUK,SO,AEP,EXC,D,PEG,XEL,PCG,SRE,LIN,APD,SHW,ECL,PPG,NEM,FCX,NUE,CF,MOS,TMUS,VZ,T,CMCSA,CHTR,DIS,OMC,IPG
2018-01-02,110566976.0,25667454.0,383367880.0,38309100.0,26812166.0,2692739.0,22326355.0,3374414.0,28091069.0,4920601.0,7144363.0,46059978.0,10574749.0,1853380.0,21739190.0,38496798.0,2711458.0,3760100.0,2084914.0,1087897.0,5019970.0,6820350.0,1581943.0,4879038.0,6946730.0,0.0,1692940.0,0.0,0.0,874214.0,15023870.0,113691740.0,19259104.0,34137140.0,57316080.0,66815895.0,15927294.0,60212432.0,15115579.0,2550546.0,7248494.0,601381.0,16580801.0,2983388.0,1213650.0,646823.0,3589194.0,1267291.0,2121388.0,2957304.0,2936937.0,3328625.0,964315.0,5928839.0,2586494.0,4117956.0,4240524.0,8121640.0,3807130.0,5013714.0,11461834.0,1404830.0,10888185.0,4037216.0,2777388.0,1517746.0,673556.0,2626010.0,9106979.0,10663361.0,5796801.0,5103992.0,1428876.0,1215351.0,1896633.0,454458.0,13294375.0,5313500.0,4108962.0,7978968.0,7048040.0,7548120.0,7335348.0,22447920.0,583618.0,8314300.0,2408120.0,1895659.0,2231687.0,74450550.0,1022623.0,7504824.0,1977553.0,2080005.0,3707816.0,4011761.0,32501364.0,2735960.0,8509399.0,12551274.0,4819643.0,5879609.0,6496050.0,7351092.0,4918650.0,5177704.0,2275627.0,952620.0,2803258.0,3192106.0,2377905.0,4595228.0,2314542.0,1757514.0,4764350.0,5793510.0,10309984.0,3403256.0,5552263.0,5780842.0,2021781.0,1703758.0,1313201.0,3194154.0,826711.0,1720897.0,2594460.0,19610934.0,1173084.0,4833833.0,2277076.0,9028256.0,690349.0,3378543.0,3205020.0,1552265.0,12955629.0,6242571.0,4454432.0,2099748.0,9641880.0,1920121.0,3369603.0,1363257.0,4732851.0,3094675.0,5592840.0,3594599.0,8188368.0,3341664.0,5854815.0,2509206.0,3500727.0,2706241.0,8672647.0,5026186.0,0.0,1201099.0,1274766.0,1126957.0,1063214.0,6553979.0,23439710.0,4291985.0,2587818.0,5158328.0,2344132.0,17553766.0,35457797.0,21713887.0,3137673.0,11713706.0,3215277.0,6399880.0
2018-01-03,127040432.0,29945786.0,938656560.0,33748640.0,25176614.0,2806779.0,33535973.0,2247792.0,119987715.0,7405490.0,7534060.0,156842043.0,11721462.0,2871506.0,27593480.0,44864276.0,2239668.0,5377084.0,2286074.0,955652.0,4194145.0,8758870.0,1545834.0,5129580.0,7929950.0,0.0,2122316.0,0.0,0.0,2158996.0,11804930.0,88447450.0,17823174.0,34079060.0,65409820.0,69054510.0,12772534.0,60338207.0,15382622.0,3271773.0,7524602.0,484270.0,15367671.0,3288673.0,901149.0,1128115.0,4520639.0,1450168.0,2841618.0,3510965.0,1425592.0,2192538.0,1298011.0,4458234.0,1569751.0,5309571.0,2725228.0,6029503.0,3400417.0,5163225.0,11378182.0,1637433.0,6533836.0,2716995.0,2526162.0,1726202.0,769323.0,3357823.0,7288132.0,9094448.0,4118427.0,5787424.0,834610.0,1825398.0,1398913.0,438567.0,13863700.0,5009163.0,4040897.0,8287797.0,6393222.0,5315094.0,9778026.0,23135430.0,618983.0,4278735.0,3171309.0,2725160.0,1714183.0,100005500.0,2033418.0,9801650.0,2356687.0,2907179.0,4278399.0,6099319.0,28563867.0,3716943.0,6755223.0,15229994.0,4818674.0,4169290.0,7001153.0,9372278.0,3638746.0,1802092.0,2649163.0,1528094.0,3206621.0,2349140.0,2757248.0,3378863.0,3112509.0,2847408.0,3686057.0,6092336.0,10744086.0,7285545.0,4573717.0,6031546.0,1540824.0,2722093.0,990572.0,3573329.0,909625.0,2024854.0,2249546.0,26196843.0,1361427.0,4989916.0,2355624.0,8707244.0,910584.0,3589388.0,4545279.0,1829130.0,15353284.0,6347172.0,4503811.0,3227707.0,10225030.0,3391745.0,5585214.0,1506921.0,3270554.0,3832541.0,11744948.0,2929046.0,6606415.0,2429696.0,5168855.0,14832070.0,2725838.0,4300079.0,6968237.0,7357212.0,0.0,878822.0,1106505.0,851996.0,1019435.0,5917564.0,21210189.0,3952203.0,1912985.0,3953071.0,2739085.0,18608654.0,41226210.0,22963475.0,2656821.0,9862536.0,3724881.0,5718001.0
2018-01-04,97561040.0,24317740.0,609230560.0,20540860.0,20976108.0,2454126.0,22865742.0,2057624.0,92769183.0,5883596.0,5883739.0,112270335.0,10278127.0,2114878.0,24003060.0,53576106.0,2027359.0,3758410.0,3544699.0,1192414.0,5137988.0,8048560.0,1798126.0,7474542.0,16169635.0,0.0,2909981.0,0.0,0.0,2503937.0,11836170.0,62862100.0,14837938.0,28563900.0,63718740.0,156376245.0,13973207.0,79428893.0,20673653.0,2744489.0,9360745.0,425074.0,18253361.0,3375198.0,818012.0,851809.0,3297069.0,1667187.0,2084400.0,2794422.0,1342543.0,1808484.0,1601020.0,4821493.0,1982124.0,4635867.0,3049277.0,5437620.0,2911169.0,3913785.0,16111960.0,1697056.0,7138656.0,2324448.0,2916495.0,1460268.0,691662.0,2315728.0,5822955.0,9068979.0,5628507.0,24470460.0,1909047.0,2560361.0,1162169.0,577050.0,15752075.0,4373959.0,3274227.0,6359458.0,6158521.0,4115577.0,8111968.0,14877315.0,660595.0,6742610.0,2590420.0,2123340.0,2342522.0,36493000.0,1380918.0,9560108.0,2068463.0,1241234.0,3341502.0,5150046.0,23217408.0,3843495.0,7519873.0,15009740.0,3717991.0,4969436.0,6888713.0,9459212.0,2942350.0,1652142.0,2228808.0,913708.0,3652298.0,2685708.0,2821578.0,3739396.0,6010570.0,3441271.0,4166560.0,4461666.0,10976304.0,5038885.0,5453815.0,5852172.0,1997992.0,2082460.0,1577506.0,4638324.0,661332.0,1603067.0,2776105.0,19287795.0,1809414.0,5269277.0,2558572.0,9688372.0,807445.0,3259308.0,4327361.0,1567779.0,11796129.0,5164603.0,5305932.0,2313176.0,13044767.0,1628783.0,3368777.0,1263047.0,3319519.0,4356828.0,15168592.0,2720322.0,5567927.0,3781345.0,5206587.0,7439945.0,9172860.0,3073506.0,13388353.0,7456536.0,0.0,1111114.0,1958073.0,855196.0,1430346.0,4233252.0,20339893.0,2833906.0,2182774.0,5027866.0,2554803.0,13719967.0,30557918.0,20467443.0,1309640.0,8097516.0,2228278.0,4457711.0
2018-01-05,104959444.0,27933453.0,605320360.0,30738920.0,15965908.0,2748948.0,27304905.0,1810968.0,44900345.0,5922686.0,6328910.0,65514765.0,11719963.0,1661469.0,18915630.0,48893464.0,2032673.0,3537550.0,2412450.0,1034938.0,3629301.0,6196650.0,1218462.0,8919768.0,7497800.0,0.0,1094110.0,0.0,0.0,1159738.0,7811090.0,73496150.0,14915012.0,33529960.0,76161160.0,70156185.0,15585383.0,60771183.0,15883049.0,2796770.0,7124652.0,532458.0,17213030.0,3070929.0,807663.0,1416247.0,2407506.0,1095540.0,1803855.0,3618368.0,1325097.0,1710537.0,944005.0,3864094.0,1970875.0,4100343.0,2784220.0,6959374.0,3265691.0,5082190.0,10375199.0,1640510.0,6500422.0,2116633.0,2406780.0,2119459.0,533175.0,2562314.0,8597572.0,15045222.0,2960949.0,12263484.0,1450647.0,1764011.0,1129809.0,573182.0,9653950.0,4728945.0,4079671.0,7029422.0,12326443.0,5994701.0,8395788.0,10921065.0,498920.0,11278195.0,2517048.0,2087591.0,1493709.0,50859250.0,2115068.0,7856064.0,2472134.0,1285848.0,2921697.0,3920191.0,24106815.0,3068037.0,7049478.0,15511931.0,3245692.0,5298013.0,7172976.0,12351865.0,3269381.0,1631678.0,1658846.0,725526.0,4834163.0,2356571.0,1667721.0,2610602.0,3133824.0,2470232.0,4607522.0,4056634.0,10505984.0,2959474.0,4307100.0,4060275.0,1755046.0,2058051.0,1386891.0,6519209.0,926654.0,1974406.0,2999885.0,21704490.0,1813718.0,5763201.0,2714848.0,7929296.0,708270.0,3417655.0,2674122.0,1612030.0,12475329.0,4874031.0,4234173.0,2465258.0,9496653.0,1283279.0,3820190.0,1938969.0,3294285.0,7242482.0,11794236.0,4284571.0,6803692.0,3197553.0,7795197.0,6071419.0,6109833.0,4164987.0,7292728.0,25725592.0,0.0,820819.0,1937031.0,1163488.0,1053282.0,3312237.0,14586904.0,2871579.0,2275838.0,5246962.0,3486435.0,14900537.0,24090350.0,19402318.0,2581834.0,6746580.0,2092658.0,3887140.0
2018-01-08,90917476.0,26094124.0,920976160.0,22466990.0,16646785.0,2409509.0,19592762.0,3008796.0,38922537.0,5218849.0,4625792.0,64945484.0,13644462.0,837588.0,31560680.0,33434457.0,2155358.0,2549424.0,2158097.0,1142849.0,3190616.0,7128950.0,1397956.0,7175868.0,6645685.0,0.0,1788848.0,0.0,0.0,705171.0,7728070.0,58610170.0,18969476.0,27512820.0,89083300.0,151228410.0,13106744.0,44792485.0,17090696.0,3154742.0,7091762.0,588353.0,15549355.0,2070601.0,1022883.0,613782.0,2075846.0,1209878.0,1655385.0,3634645.0,1493205.0,1591649.0,997479.0,5243666.0,1666853.0,3618766.0,3055871.0,6167168.0,3904543.0,6318504.0,12859524.0,2207716.0,6608700.0,2117591.0,3231732.0,2205910.0,1171048.0,2885715.0,6315266.0,11363711.0,3996576.0,9211960.0,927970.0,2042313.0,1389605.0,472241.0,15083975.0,4264183.0,2240168.0,7063090.0,13358381.0,7678582.0,8312082.0,10408830.0,447076.0,7749680.0,4077135.0,1693725.0,2012044.0,58005750.0,1456794.0,10547144.0,2014385.0,1706493.0,3943740.0,3536843.0,28980906.0,2199222.0,5750761.0,8160073.0,6859142.0,5813238.0,6865524.0,11769538.0,1941886.0,1622478.0,2612902.0,1210615.0,3008196.0,2141153.0,1761095.0,3639976.0,2838730.0,1688343.0,3526321.0,3376706.0,10860819.0,3112817.0,6358189.0,3547623.0,3233232.0,3670155.0,1223165.0,4597447.0,717088.0,1290723.0,2289640.0,20738733.0,1554808.0,6743102.0,2969348.0,9954464.0,891501.0,2549538.0,2014521.0,2770577.0,13914278.0,5924780.0,5082686.0,2223999.0,10985806.0,1673809.0,3598692.0,1414270.0,2895753.0,4473260.0,8825848.0,3862498.0,8728145.0,6415571.0,11120823.0,5776854.0,3805189.0,4059047.0,7071128.0,8394836.0,0.0,858536.0,1434750.0,1203273.0,1435728.0,5369454.0,16447934.0,3302833.0,3498882.0,4498333.0,3782513.0,18690200.0,28094770.0,16993414.0,1582957.0,8683947.0,2093595.0,4592534.0
2018-01-09,92079040.0,21412047.0,520524520.0,28322670.0,15023432.0,1957572.0,24167745.0,3475835.0,48816920.0,5606258.0,8351789.0,63972083.0,14315457.0,943832.0,31268930.0,64911411.0,3251549.0,4670838.0,1853024.0,879689.0,3478597.0,7467420.0,1256087.0,7552422.0,7326410.0,0.0,1276882.0,0.0,0.0,1064039.0,7738020.0,65368030.0,13118524.0,29769900.0,77502500.0,108954900.0,14757074.0,73973469.0,16860847.0,2744622.0,7067450.0,581367.0,15161726.0,3237369.0,1007379.0,741118.0,2599010.0,1093622.0,2354046.0,4432812.0,2243776.0,2723745.0,1622895.0,5262033.0,2862534.0,7237318.0,2928122.0,10200638.0,2631327.0,4444465.0,11767881.0,1972259.0,7784531.0,4852482.0,4537698.0,1597558.0,1271074.0,3352377.0,15888699.0,25548809.0,5157540.0,11834088.0,1236516.0,2775807.0,2131732.0,431383.0,9880050.0,3294418.0,3016809.0,5653750.0,9182320.0,4596739.0,8962554.0,8555745.0,458755.0,6135105.0,1858824.0,1891687.0,2055426.0,36879950.0,993606.0,6744958.0,2769767.0,1285059.0,3616335.0,5110894.0,24216900.0,2404726.0,7460349.0,11133699.0,5124516.0,4304479.0,6993785.0,8040309.0,2724070.0,1524220.0,2533411.0,1376217.0,3564454.0,3275436.0,2666767.0,3102071.0,2816952.0,1962811.0,3716515.0,7429548.0,8845031.0,3737616.0,4818207.0,3117305.0,4832941.0,2243029.0,917043.0,5921096.0,877699.0,1345404.0,1715197.0,18450609.0,1395378.0,7873514.0,1945588.0,8264544.0,528017.0,3602721.0,2487706.0,1213797.0,9209071.0,5051301.0,6121859.0,2054348.0,10258142.0,1424822.0,3331845.0,1719112.0,4720586.0,3457764.0,7190280.0,3051111.0,6646579.0,4567184.0,8077338.0,3635161.0,5415824.0,3177810.0,6747838.0,10231068.0,0.0,897856.0,1807449.0,992158.0,1151919.0,4278208.0,34692669.0,3571962.0,3645847.0,4254648.0,5528104.0,15853494.0,32170145.0,19143900.0,1087269.0,6389590.0,1865698.0,3988253.0
2018-01-10,102422048.0,21054637.0,600761600.0,33587610.0,14079559.0,1824189.0,21364221.0,1867834.0,48395208.0,6313019.0,7495631.0,54715617.0,15275508.0,1516422.0,36494430.0,55268020.0,3009889.0,4255828.0,1490701.0,760921.0,3306448.0,9851115.0,1208536.0,5902614.0,6110120.0,0.0,3194341.0,0.0,0.0,1170785.0,6749710.0,62907070.0,11363568.0,22394740.0,57096420.0,66017310.0,16729230.0,70315880.0,20491240.0,3136939.0,11727125.0,512444.0,14917993.0,2475879.0,1027620.0,698648.0,2664981.0,1354154.0,1690940.0,3418565.0,1290389.0,2843869.0,1446790.0,5574163.0,2768354.0,12538927.0,2572213.0,7810886.0,2012997.0,5028501.0,9790137.0,1587899.0,4781879.0,2659715.0,6672762.0,1779662.0,858953.0,2837974.0,10902402.0,13631590.0,2483220.0,8791092.0,832484.0,3336059.0,2095458.0,534704.0,7816275.0,3606446.0,2533629.0,9389461.0,5414680.0,3210823.0,7379978.0,11380665.0,392441.0,7468080.0,4000731.0,1010502.0,1443156.0,58802850.0,548837.0,18112672.0,2722936.0,1238951.0,5004590.0,10138296.0,26115846.0,2811424.0,7276900.0,11824035.0,3824841.0,4031115.0,7697301.0,7413813.0,3491250.0,1558910.0,2837572.0,1424351.0,3056525.0,3643254.0,3117481.0,3439397.0,3859209.0,1452991.0,4151113.0,5874140.0,10645213.0,2849810.0,5653709.0,3181604.0,5696338.0,1778853.0,1618119.0,4951444.0,729123.0,1029837.0,1798061.0,21254607.0,1247981.0,10678748.0,1757488.0,13228240.0,590926.0,2730233.0,2338147.0,1163499.0,12482709.0,6081046.0,5334012.0,5628755.0,11038252.0,1490770.0,2910988.0,1097020.0,2657835.0,3551328.0,7516108.0,3432343.0,7705584.0,4240016.0,5267092.0,4394961.0,3713224.0,2835213.0,7454191.0,5717986.0,0.0,1048186.0,1116933.0,960268.0,1511697.0,3813837.0,30834059.0,2701948.0,2336725.0,6143214.0,3751045.0,13805443.0,46019465.0,21869492.0,1158796.0,6443171.0,2096850.0,7458573.0
2018-01-11,79953044.0,19859682.0,424811680.0,19194600.0,12195767.0,1787972.0,23264565.0,2002002.0,39632470.0,4298007.0,4640430.0,39480315.0,11262164.0,1064057.0,30540140.0,41315369.0,2078809.0,2678232.0,1305241.0,786407.0,3870539.0,9062725.0,1002087.0,6037056.0,6690190.0,0.0,1456216.0,0.0,0.0,520241.0,6468510.0,79590640.0,10262005.0,24008400.0,65450420.0,100705920.0,14369422.0,61556781.0,25953811.0,2640545.0,8886724.0,812277.0,16388141.0,3017736.0,803185.0,601184.0,2287262.0,1197754.0,1544781.0,2241727.0,1234176.0,2984086.0,838181.0,4011572.0,2018274.0,6884224.0,2785296.0,5579224.0,2902944.0,4768176.0,7688400.0,1761136.0,4724559.0,2182228.0,4067088.0,1013566.0,656213.0,2355365.0,8442609.0,9320291.0,3375519.0,4909840.0,1735786.0,1621097.0,1394696.0,558466.0,11077100.0,4201226.0,3598918.0,6489823.0,5996456.0,3418066.0,5828254.0,12741000.0,612937.0,15775440.0,2532977.0,1447015.0,1591051.0,44349100.0,742553.0,11493067.0,819175.0,1203405.0,5037332.0,6846100.0,20869293.0,4879752.0,6028616.0,8589654.0,4296784.0,4491726.0,7959173.0,6980155.0,2315157.0,1785664.0,3415874.0,720739.0,2880046.0,4090110.0,1645191.0,3079344.0,3527156.0,2235997.0,3813718.0,4255112.0,13189111.0,2665934.0,4389684.0,4464962.0,2061786.0,2763253.0,1218481.0,4822253.0,559210.0,1337477.0,1711547.0,17257359.0,1860017.0,3359802.0,2596604.0,8844944.0,539400.0,3242514.0,2082129.0,916462.0,16656288.0,12443335.0,7819224.0,4065121.0,10796159.0,2741070.0,2688358.0,1510454.0,3044172.0,5839859.0,8172324.0,4682868.0,7179428.0,2982670.0,7917390.0,3748489.0,5167234.0,3467375.0,5969688.0,3940772.0,0.0,757948.0,1007673.0,1651835.0,1388790.0,4386953.0,22038476.0,2154579.0,3104865.0,5981640.0,3273139.0,17468784.0,43860284.0,39079686.0,1259736.0,6941305.0,1996579.0,7710487.0
2018-01-12,109703824.0,27692971.0,382403200.0,21590500.0,17808009.0,4644951.0,27534914.0,2464134.0,33933627.0,5142133.0,6113399.0,48877614.0,9977570.0,1102274.0,29469520.0,29762576.0,3767680.0,2886406.0,1424518.0,810382.0,6759941.0,6676530.0,777254.0,8725722.0,8655560.0,0.0,1277233.0,0.0,0.0,641524.0,8607420.0,85736220.0,79943178.0,41608880.0,114215520.0,73301565.0,19883574.0,69373458.0,26995965.0,3062054.0,9669310.0,991937.0,18147692.0,3639057.0,793503.0,672103.0,1910473.0,1216497.0,1546965.0,2955235.0,2320075.0,3187589.0,966391.0,5901884.0,1480954.0,6676407.0,4410955.0,6362097.0,3005872.0,4800480.0,13224852.0,1601640.0,7757759.0,2044159.0,3155280.0,1887233.0,964128.0,3427458.0,7163622.0,9367915.0,3462300.0,5081948.0,819402.0,1601101.0,1119503.0,672385.0,14876650.0,7379861.0,3304404.0,7872509.0,5740358.0,14678464.0,8512122.0,20400240.0,540934.0,12259075.0,2477240.0,1509920.0,1182168.0,34854550.0,1241746.0,13202011.0,3212905.0,1156423.0,1953414.0,3920795.0,22622367.0,3779788.0,8839800.0,17148922.0,5000124.0,6091652.0,8310100.0,9552150.0,2716401.0,1491646.0,3693257.0,700983.0,2111022.0,5352807.0,2328149.0,2889722.0,3414154.0,1684125.0,4613953.0,4630804.0,11558981.0,2662373.0,4375202.0,4822658.0,2425657.0,3202828.0,1739441.0,6894421.0,818746.0,1987122.0,1443718.0,15589167.0,2031407.0,3506556.0,2213780.0,9349540.0,653461.0,3742784.0,2563650.0,1140415.0,11335586.0,8329563.0,7147896.0,2209488.0,9856823.0,1491720.0,2877522.0,2068183.0,3212780.0,4071052.0,6993344.0,3774171.0,9364735.0,7592325.0,5791139.0,4757058.0,3117817.0,4124445.0,7695156.0,6043410.0,0.0,766744.0,3236916.0,1402375.0,1556137.0,5885482.0,15666661.0,2879564.0,2473645.0,3845114.0,3404680.0,19757977.0,34135242.0,20666325.0,778646.0,6444377.0,2794315.0,8918234.0
2018-01-16,127559588.0,40692162.0,719477120.0,35610350.0,18640746.0,4949720.0,40096677.0,3371781.0,46599800.0,10104718.0,27435157.0,44068576.0,15170646.0,1734676.0,44603830.0,39734757.0,3740181.0,3916056.0,2411250.0,1047623.0,6527997.0,18960560.0,1506318.0,7022298.0,7838845.0,0.0,2253680.0,0.0,0.0,2032621.0,11874860.0,139602900.0,37998292.0,40220320.0,150032520.0,107299590.0,24661953.0,108695689.0,19298663.0,4687512.0,12637353.0,1434812.0,28276416.0,4245777.0,1115692.0,803585.0,2354461.0,1446181.0,2015886.0,4435632.0,2191159.0,2556963.0,1355231.0,10329090.0,2373106.0,6637657.0,7325167.0,10088100.0,5309100.0,9846099.0,51247398.0,2825424.0,7958485.0,2459351.0,3314244.0,1952652.0,1052779.0,3723410.0,12866978.0,12178179.0,5493342.0,4458184.0,1042415.0,1873644.0,1488268.0,829162.0,16090825.0,6333061.0,4298892.0,9195760.0,10052090.0,15567284.0,8217514.0,13983795.0,358414.0,7660640.0,2974746.0,1531442.0,1731848.0,42126900.0,893280.0,11492584.0,1539011.0,1138044.0,2547347.0,3714573.0,24180186.0,2205361.0,10588447.0,18033354.0,5474722.0,6386878.0,11341863.0,9438283.0,5195059.0,2866926.0,3716836.0,826066.0,3748309.0,5486920.0,3752643.0,4353867.0,3635457.0,2805317.0,6164776.0,6015384.0,27495497.0,3961102.0,9483163.0,4380737.0,2130738.0,2884261.0,1472787.0,12633941.0,841921.0,1887375.0,1754087.0,33290361.0,2694246.0,6803581.0,3720288.0,16393452.0,824511.0,4149561.0,2392001.0,1649295.0,12742145.0,7187411.0,6122213.0,5680972.0,12882156.0,1840633.0,5005625.0,2880863.0,3519712.0,5906406.0,8170556.0,4828184.0,10381810.0,4392737.0,8912928.0,9559212.0,4081197.0,5197891.0,4881698.0,9153598.0,0.0,1232327.0,3023061.0,1261497.0,2581481.0,7240791.0,25204643.0,4652338.0,7115464.0,6672520.0,4881980.0,16654099.0,27633377.0,20797358.0,1321811.0,8734160.0,2616982.0,8305219.0
