Date,SPY
2018-01-02,237.45
2018-01-03,238.96
2018-01-04,239.93
2018-01-05,241.54
2018-01-08,242.0
2018-01-09,242.54
2018-01-10,242.15
2018-01-11,243.92
2018-01-12,245.56
2018-01-16,244.78
2018-01-17,247.03
2018-01-18,246.65
2018-01-19,247.72
2018-01-22,249.73
2018-01-23,250.24
2018-01-24,250.13
2018-01-25,250.29
2018-01-26,253.17
2018-01-29,251.48
2018-01-30,248.82
2018-01-31,249.06
2018-02-01,248.86
2018-02-02,243.41
2018-02-05,233.34
2018-02-06,237.71
2018-02-07,236.48
2018-02-08,227.74
2018-02-09,231.24
2018-02-12,234.41
2018-02-13,235.05
2018-02-14,238.25
2018-02-15,241.13
2018-02-16,241.33
2018-02-20,239.81
2018-02-21,238.51
2018-02-22,238.77
2018-02-23,242.65
2018-02-26,245.53
2018-02-27,242.41
2018-02-28,239.79
2018-03-01,236.53
2018-03-02,237.73
2018-03-05,240.41
2018-03-06,241.04
2018-03-07,241.04
2018-03-08,242.1
2018-03-09,246.28
2018-03-12,246.09
2018-03-13,244.48
2018-03-14,243.18
2018-03-15,242.99
2018-03-16,243.24
2018-03-19,240.04
2018-03-20,240.32
2018-03-21,239.85
2018-03-22,233.92
2018-03-23,228.86
2018-03-26,235.18
2018-03-27,231.3
2018-03-28,230.49
2018-03-29,233.67
2018-04-02,228.43
2018-04-03,231.27
2018-04-04,233.98
2018-04-05,235.58
2018-04-06,230.36
2018-04-09,231.36
2018-04-10,235.14
2018-04-11,233.92
2018-04-12,235.86
2018-04-13,235.16
2018-04-16,237.16
2018-04-17,239.61
2018-04-18,239.82
2018-04-19,238.49
2018-04-20,236.53
2018-04-23,236.45
2018-04-24,233.32
2018-04-25,233.84
2018-04-26,236.16
2018-04-27,236.46
2018-04-30,234.64
2018-05-01,235.02
2018-05-02,233.44
2018-05-03,232.92
2018-05-04,235.88
2018-05-07,236.76
2018-05-08,236.74
2018-05-09,239.03
2018-05-10,241.27
2018-05-11,241.84
2018-05-14,242.11
2018-05-15,240.41
2018-05-16,241.4
2018-05-17,241.28
2018-05-18,240.68
2018-05-21,242.48
2018-05-22,241.78
2018-05-23,242.48
2018-05-24,242.01
2018-05-25,241.46
2018-05-29,238.71
2018-05-30,241.79
2018-05-31,240.21
2018-06-01,242.7
2018-06-04,243.83
2018-06-05,244.1
2018-06-06,246.09
2018-06-07,246.03
2018-06-08,246.79
2018-06-11,247.11
2018-06-12,247.45
2018-06-13,246.6
2018-06-14,247.19
2018-06-15,245.73
2018-06-18,245.34
2018-06-19,244.36
2018-06-20,244.83
2018-06-21,243.26
2018-06-22,243.72
2018-06-25,240.44
2018-06-26,240.9
2018-06-27,239.32
2018-06-28,240.3
2018-06-29,240.68
2018-07-02,241.13
2018-07-03,240.28
2018-07-05,242.17
2018-07-06,244.25
2018-07-09,246.5
2018-07-10,247.31
2018-07-11,245.62
2018-07-12,247.74
